idx,label,x,y,timestamp
0,left_sq_bracket,115,166,252928907
1,left_sq_bracket,114,168,252928943
2,left_sq_bracket,112,170,252928955
3,left_sq_bracket,109,170,252928964
4,left_sq_bracket,106,170,252928972
5,left_sq_bracket,104,171,252928978
6,left_sq_bracket,102,171,252928984
7,left_sq_bracket,100,172,252928985
8,left_sq_bracket,98,172,252928991
9,left_sq_bracket,96,172,252928992
10,left_sq_bracket,94,173,252928999
11,left_sq_bracket,90,173,252929007
12,left_sq_bracket,87,173,252929014
13,left_sq_bracket,84,173,252929021
14,left_sq_bracket,81,174,252929029
15,left_sq_bracket,79,176,252929037
16,left_sq_bracket,76,178,252929045
17,left_sq_bracket,74,183,252929053
18,left_sq_bracket,72,188,252929062
19,left_sq_bracket,70,194,252929071
20,left_sq_bracket,67,204,252929080
21,left_sq_bracket,64,211,252929089
22,left_sq_bracket,62,217,252929099
23,left_sq_bracket,61,222,252929109
24,left_sq_bracket,61,229,252929119
25,left_sq_bracket,63,234,252929129
26,left_sq_bracket,65,236,252929139
27,left_sq_bracket,72,239,252929149
28,left_sq_bracket,80,241,252929161
29,left_sq_bracket,86,240,252929172
30,left_sq_bracket,89,241,252929173
31,left_sq_bracket,99,239,252929185
32,left_sq_bracket,107,240,252929197
33,left_sq_bracket,115,240,252929209
34,left_sq_bracket,121,240,252929221
35,left_sq_bracket,124,239,252929232
36,left_sq_bracket,128,240,252929245
