idx,label,x,y,timestamp
0,left_sq_bracket,144,171,119415006
1,left_sq_bracket,143,169,119415022
2,left_sq_bracket,141,171,119415042
3,left_sq_bracket,139,171,119415057
4,left_sq_bracket,137,172,119415069
5,left_sq_bracket,134,172,119415082
6,left_sq_bracket,131,172,119415095
7,left_sq_bracket,129,172,119415103
8,left_sq_bracket,127,172,119415111
9,left_sq_bracket,125,171,119415119
10,left_sq_bracket,123,172,119415127
11,left_sq_bracket,121,172,119415135
12,left_sq_bracket,119,172,119415143
13,left_sq_bracket,117,174,119415152
14,left_sq_bracket,114,174,119415164
15,left_sq_bracket,112,174,119415177
16,left_sq_bracket,110,176,119415194
17,left_sq_bracket,108,177,119415221
18,left_sq_bracket,108,180,119415234
19,left_sq_bracket,108,183,119415246
20,left_sq_bracket,108,185,119415258
21,left_sq_bracket,108,188,119415267
22,left_sq_bracket,108,190,119415276
23,left_sq_bracket,108,193,119415287
24,left_sq_bracket,108,195,119415298
25,left_sq_bracket,108,197,119415308
26,left_sq_bracket,108,200,119415323
27,left_sq_bracket,108,203,119415335
28,left_sq_bracket,109,205,119415347
29,left_sq_bracket,111,208,119415363
30,left_sq_bracket,113,209,119415379
31,left_sq_bracket,115,211,119415395
32,left_sq_bracket,116,213,119415407
33,left_sq_bracket,117,216,119415419
34,left_sq_bracket,118,218,119415431
35,left_sq_bracket,119,220,119415443
36,left_sq_bracket,120,223,119415455
37,left_sq_bracket,120,225,119415468
38,left_sq_bracket,120,230,119415481
39,left_sq_bracket,120,232,119415495
40,left_sq_bracket,120,234,119415508
41,left_sq_bracket,120,236,119415522
42,left_sq_bracket,120,239,119415535
43,left_sq_bracket,120,242,119415549
44,left_sq_bracket,120,244,119415564
45,left_sq_bracket,120,246,119415578
46,left_sq_bracket,120,248,119415592
47,left_sq_bracket,121,250,119415606
48,left_sq_bracket,123,251,119415627
49,left_sq_bracket,126,252,119415647
50,left_sq_bracket,128,251,119415662
51,left_sq_bracket,131,250,119415678
52,left_sq_bracket,136,248,119415693
53,left_sq_bracket,142,247,119415709
54,left_sq_bracket,149,246,119415726
55,left_sq_bracket,156,245,119415742
56,left_sq_bracket,165,245,119415760
57,left_sq_bracket,172,246,119415776
58,left_sq_bracket,176,246,119415794
59,left_sq_bracket,181,246,119415811
60,left_sq_bracket,183,246,119415828
