idx,label,x,y,timestamp
0,left_sq_bracket,128,142,121419732
1,left_sq_bracket,126,144,121419748
2,left_sq_bracket,124,144,121419760
3,left_sq_bracket,122,144,121419769
4,left_sq_bracket,120,144,121419781
5,left_sq_bracket,118,145,121419796
6,left_sq_bracket,116,143,121419809
7,left_sq_bracket,114,143,121419821
8,left_sq_bracket,111,141,121419833
9,left_sq_bracket,109,140,121419845
10,left_sq_bracket,106,140,121419857
11,left_sq_bracket,104,140,121419865
12,left_sq_bracket,102,140,121419876
13,left_sq_bracket,100,140,121419888
14,left_sq_bracket,98,140,121419905
15,left_sq_bracket,96,140,121419938
16,left_sq_bracket,94,141,121420042
17,left_sq_bracket,93,144,121420090
18,left_sq_bracket,92,146,121420107
19,left_sq_bracket,92,148,121420119
20,left_sq_bracket,92,151,121420129
21,left_sq_bracket,92,153,121420139
22,left_sq_bracket,92,157,121420140
23,left_sq_bracket,92,160,121420150
24,left_sq_bracket,92,162,121420152
25,left_sq_bracket,92,169,121420164
26,left_sq_bracket,93,176,121420175
27,left_sq_bracket,93,183,121420187
28,left_sq_bracket,94,186,121420188
29,left_sq_bracket,94,195,121420202
30,left_sq_bracket,94,205,121420214
31,left_sq_bracket,94,212,121420227
32,left_sq_bracket,94,215,121420228
33,left_sq_bracket,94,218,121420240
34,left_sq_bracket,94,225,121420253
35,left_sq_bracket,94,231,121420266
36,left_sq_bracket,94,237,121420280
37,left_sq_bracket,94,241,121420293
38,left_sq_bracket,94,244,121420307
39,left_sq_bracket,94,247,121420308
40,left_sq_bracket,94,249,121420325
41,left_sq_bracket,94,251,121420338
42,left_sq_bracket,94,254,121420340
43,left_sq_bracket,93,256,121420359
44,left_sq_bracket,96,257,121420463
45,left_sq_bracket,98,257,121420478
46,left_sq_bracket,103,257,121420493
47,left_sq_bracket,109,256,121420509
48,left_sq_bracket,116,257,121420526
49,left_sq_bracket,124,258,121420542
50,left_sq_bracket,126,258,121420544
51,left_sq_bracket,135,256,121420568
52,left_sq_bracket,144,257,121420592
53,left_sq_bracket,146,257,121420615
54,left_sq_bracket,147,259,121420638
55,left_sq_bracket,145,260,121420680
