idx,label,x,y,timestamp
0,left_sq_bracket,152,156,268203182
1,left_sq_bracket,150,154,268203207
2,left_sq_bracket,147,153,268203227
3,left_sq_bracket,145,153,268203239
4,left_sq_bracket,142,153,268203250
5,left_sq_bracket,140,152,268203262
6,left_sq_bracket,138,152,268203270
7,left_sq_bracket,136,153,268203278
8,left_sq_bracket,133,153,268203286
9,left_sq_bracket,131,153,268203294
10,left_sq_bracket,129,153,268203302
11,left_sq_bracket,127,153,268203310
12,left_sq_bracket,125,154,268203318
13,left_sq_bracket,123,154,268203327
14,left_sq_bracket,121,154,268203334
15,left_sq_bracket,118,155,268203346
16,left_sq_bracket,116,156,268203359
17,left_sq_bracket,113,157,268203371
18,left_sq_bracket,111,156,268203384
19,left_sq_bracket,108,158,268203404
20,left_sq_bracket,106,159,268203424
21,left_sq_bracket,106,161,268203501
22,left_sq_bracket,107,163,268203529
23,left_sq_bracket,108,165,268203545
24,left_sq_bracket,109,168,268203560
25,left_sq_bracket,109,171,268203570
26,left_sq_bracket,109,174,268203580
27,left_sq_bracket,110,179,268203591
28,left_sq_bracket,111,183,268203602
29,left_sq_bracket,111,192,268203613
30,left_sq_bracket,112,198,268203624
31,left_sq_bracket,111,202,268203635
32,left_sq_bracket,111,204,268203636
33,left_sq_bracket,111,208,268203648
34,left_sq_bracket,111,212,268203662
35,left_sq_bracket,111,216,268203663
36,left_sq_bracket,111,219,268203675
37,left_sq_bracket,111,222,268203676
38,left_sq_bracket,111,224,268203689
39,left_sq_bracket,112,229,268203702
40,left_sq_bracket,113,232,268203715
41,left_sq_bracket,114,234,268203737
42,left_sq_bracket,116,234,268203766
43,left_sq_bracket,118,233,268203785
44,left_sq_bracket,120,235,268203799
45,left_sq_bracket,123,235,268203813
46,left_sq_bracket,128,235,268203827
47,left_sq_bracket,136,237,268203842
48,left_sq_bracket,144,238,268203858
49,left_sq_bracket,152,238,268203874
50,left_sq_bracket,159,237,268203889
51,left_sq_bracket,162,235,268203905
52,left_sq_bracket,165,235,268203906
53,left_sq_bracket,167,235,268203922
54,left_sq_bracket,172,234,268203938
55,left_sq_bracket,174,234,268203954
56,left_sq_bracket,176,235,268203994
57,left_sq_bracket,175,238,268204033
58,left_sq_bracket,173,237,268204065
