idx,label,x,y,timestamp
0,left_sq_bracket,128,172,252932321
1,left_sq_bracket,126,172,252932367
2,left_sq_bracket,124,173,252932372
3,left_sq_bracket,122,174,252932378
4,left_sq_bracket,120,174,252932384
5,left_sq_bracket,116,174,252932390
6,left_sq_bracket,111,175,252932396
7,left_sq_bracket,108,176,252932402
8,left_sq_bracket,105,176,252932403
9,left_sq_bracket,103,176,252932410
10,left_sq_bracket,98,176,252932417
11,left_sq_bracket,92,176,252932424
12,left_sq_bracket,88,177,252932432
13,left_sq_bracket,86,177,252932440
14,left_sq_bracket,82,177,252932447
15,left_sq_bracket,79,177,252932455
16,left_sq_bracket,77,179,252932463
17,left_sq_bracket,75,180,252932476
18,left_sq_bracket,74,182,252932490
19,left_sq_bracket,74,185,252932499
20,left_sq_bracket,73,189,252932509
21,left_sq_bracket,73,197,252932518
22,left_sq_bracket,73,202,252932528
23,left_sq_bracket,73,208,252932538
24,left_sq_bracket,73,211,252932539
25,left_sq_bracket,73,216,252932549
26,left_sq_bracket,74,225,252932559
27,left_sq_bracket,76,231,252932570
28,left_sq_bracket,78,234,252932581
29,left_sq_bracket,79,238,252932592
30,left_sq_bracket,83,243,252932603
31,left_sq_bracket,85,244,252932615
32,left_sq_bracket,91,246,252932626
33,left_sq_bracket,97,246,252932638
34,left_sq_bracket,105,245,252932650
35,left_sq_bracket,114,243,252932663
36,left_sq_bracket,124,242,252932676
37,left_sq_bracket,133,240,252932688
38,left_sq_bracket,146,242,252932712
39,left_sq_bracket,152,242,252932725
40,left_sq_bracket,154,242,252932738
