idx,label,x,y,timestamp
0,left_sq_bracket,154,122,88288108
1,left_sq_bracket,151,123,88288152
2,left_sq_bracket,149,123,88288165
3,left_sq_bracket,147,123,88288177
4,left_sq_bracket,145,124,88288186
5,left_sq_bracket,142,126,88288195
6,left_sq_bracket,139,126,88288203
7,left_sq_bracket,136,127,88288211
8,left_sq_bracket,133,128,88288219
9,left_sq_bracket,129,129,88288227
10,left_sq_bracket,126,129,88288235
11,left_sq_bracket,123,129,88288243
12,left_sq_bracket,120,128,88288251
13,left_sq_bracket,117,129,88288260
14,left_sq_bracket,114,130,88288267
15,left_sq_bracket,112,131,88288275
16,left_sq_bracket,110,130,88288283
17,left_sq_bracket,107,128,88288295
18,left_sq_bracket,105,128,88288307
19,left_sq_bracket,103,128,88288335
20,left_sq_bracket,103,130,88288387
21,left_sq_bracket,105,130,88288415
22,left_sq_bracket,106,133,88288431
23,left_sq_bracket,107,135,88288443
24,left_sq_bracket,108,138,88288455
25,left_sq_bracket,109,140,88288465
26,left_sq_bracket,110,146,88288475
27,left_sq_bracket,110,148,88288486
28,left_sq_bracket,111,158,88288496
29,left_sq_bracket,112,166,88288507
30,left_sq_bracket,112,171,88288519
31,left_sq_bracket,112,175,88288520
32,left_sq_bracket,113,183,88288531
33,left_sq_bracket,113,192,88288543
34,left_sq_bracket,114,197,88288555
35,left_sq_bracket,114,205,88288568
36,left_sq_bracket,114,211,88288580
37,left_sq_bracket,114,215,88288593
38,left_sq_bracket,114,217,88288605
39,left_sq_bracket,114,219,88288618
40,left_sq_bracket,114,221,88288631
41,left_sq_bracket,114,223,88288675
42,left_sq_bracket,115,225,88288720
43,left_sq_bracket,115,228,88288748
44,left_sq_bracket,116,230,88288772
45,left_sq_bracket,117,232,88288786
46,left_sq_bracket,119,232,88288801
47,left_sq_bracket,122,231,88288816
48,left_sq_bracket,126,229,88288833
49,left_sq_bracket,132,228,88288850
50,left_sq_bracket,139,226,88288868
51,left_sq_bracket,145,226,88288883
52,left_sq_bracket,151,225,88288899
53,left_sq_bracket,156,225,88288915
54,left_sq_bracket,161,225,88288931
55,left_sq_bracket,163,225,88288947
56,left_sq_bracket,165,225,88288974
