idx,label,x,y,timestamp
0,left_sq_bracket,121,129,117519728
1,left_sq_bracket,119,128,117519748
2,left_sq_bracket,116,128,117519764
3,left_sq_bracket,114,127,117519777
4,left_sq_bracket,112,128,117519784
5,left_sq_bracket,109,127,117519793
6,left_sq_bracket,107,128,117519805
7,left_sq_bracket,105,128,117519813
8,left_sq_bracket,102,127,117519825
9,left_sq_bracket,100,127,117519833
10,left_sq_bracket,98,127,117519841
11,left_sq_bracket,95,127,117519854
12,left_sq_bracket,93,127,117519866
13,left_sq_bracket,91,127,117519878
14,left_sq_bracket,89,127,117519894
15,left_sq_bracket,87,128,117519919
16,left_sq_bracket,85,128,117519947
17,left_sq_bracket,85,130,117519967
18,left_sq_bracket,84,133,117519987
19,left_sq_bracket,84,136,117519996
20,left_sq_bracket,84,139,117520008
21,left_sq_bracket,84,142,117520017
22,left_sq_bracket,83,145,117520026
23,left_sq_bracket,83,149,117520036
24,left_sq_bracket,83,151,117520037
25,left_sq_bracket,83,156,117520047
26,left_sq_bracket,84,162,117520057
27,left_sq_bracket,84,167,117520067
28,left_sq_bracket,84,169,117520069
29,left_sq_bracket,85,174,117520079
30,left_sq_bracket,85,177,117520080
31,left_sq_bracket,85,183,117520092
32,left_sq_bracket,85,185,117520093
33,left_sq_bracket,85,193,117520105
34,left_sq_bracket,85,201,117520117
35,left_sq_bracket,86,207,117520129
36,left_sq_bracket,86,216,117520141
37,left_sq_bracket,86,221,117520154
38,left_sq_bracket,87,228,117520167
39,left_sq_bracket,87,233,117520180
40,left_sq_bracket,88,237,117520193
41,left_sq_bracket,87,239,117520206
42,left_sq_bracket,87,242,117520220
43,left_sq_bracket,87,244,117520221
44,left_sq_bracket,87,246,117520249
45,left_sq_bracket,88,248,117520269
46,left_sq_bracket,90,249,117520297
47,left_sq_bracket,92,249,117520311
48,left_sq_bracket,95,251,117520326
49,left_sq_bracket,101,251,117520340
50,left_sq_bracket,109,250,117520356
51,left_sq_bracket,118,250,117520372
52,left_sq_bracket,127,249,117520388
53,left_sq_bracket,135,249,117520403
54,left_sq_bracket,140,249,117520419
55,left_sq_bracket,146,248,117520435
56,left_sq_bracket,148,246,117520451
57,left_sq_bracket,147,244,117520510
