idx,label,x,y,timestamp
0,left_sq_bracket,123,125,117514876
1,left_sq_bracket,121,125,117514895
2,left_sq_bracket,118,126,117514911
3,left_sq_bracket,116,126,117514923
4,left_sq_bracket,113,124,117514935
5,left_sq_bracket,111,124,117514943
6,left_sq_bracket,108,123,117514951
7,left_sq_bracket,106,124,117514959
8,left_sq_bracket,104,123,117514967
9,left_sq_bracket,101,123,117514975
10,left_sq_bracket,98,124,117514983
11,left_sq_bracket,96,123,117514991
12,left_sq_bracket,94,124,117514999
13,left_sq_bracket,91,125,117515012
14,left_sq_bracket,89,125,117515023
15,left_sq_bracket,87,125,117515044
16,left_sq_bracket,86,127,117515113
17,left_sq_bracket,86,130,117515129
18,left_sq_bracket,86,132,117515137
19,left_sq_bracket,86,134,117515152
20,left_sq_bracket,86,136,117515162
21,left_sq_bracket,86,138,117515172
22,left_sq_bracket,86,141,117515173
23,left_sq_bracket,86,144,117515183
24,left_sq_bracket,87,146,117515194
25,left_sq_bracket,87,153,117515204
26,left_sq_bracket,87,156,117515215
27,left_sq_bracket,87,159,117515225
28,left_sq_bracket,87,163,117515235
29,left_sq_bracket,88,165,117515237
30,left_sq_bracket,88,168,117515247
31,left_sq_bracket,88,174,117515259
32,left_sq_bracket,88,180,117515270
33,left_sq_bracket,87,186,117515282
34,left_sq_bracket,86,195,117515294
35,left_sq_bracket,86,200,117515306
36,left_sq_bracket,86,206,117515318
37,left_sq_bracket,85,213,117515331
38,left_sq_bracket,85,217,117515343
39,left_sq_bracket,85,220,117515344
40,left_sq_bracket,85,223,117515357
41,left_sq_bracket,84,230,117515371
42,left_sq_bracket,84,233,117515384
43,left_sq_bracket,83,240,117515397
44,left_sq_bracket,82,243,117515415
45,left_sq_bracket,82,246,117515431
46,left_sq_bracket,82,248,117515432
47,left_sq_bracket,81,250,117515447
48,left_sq_bracket,81,252,117515463
49,left_sq_bracket,81,254,117515478
50,left_sq_bracket,84,255,117515516
51,left_sq_bracket,86,255,117515531
52,left_sq_bracket,91,254,117515547
53,left_sq_bracket,97,254,117515562
54,left_sq_bracket,104,253,117515578
55,left_sq_bracket,112,254,117515594
56,left_sq_bracket,119,253,117515610
57,left_sq_bracket,127,252,117515629
58,left_sq_bracket,129,252,117515646
59,left_sq_bracket,132,252,117515662
60,left_sq_bracket,134,252,117515679
61,left_sq_bracket,134,250,117515698
