idx,label,x,y,timestamp
0,pigtail,48,225,117231004
1,pigtail,50,225,117231032
2,pigtail,52,226,117231048
3,pigtail,55,225,117231060
4,pigtail,57,226,117231068
5,pigtail,60,226,117231076
6,pigtail,62,225,117231085
7,pigtail,65,225,117231093
8,pigtail,68,226,117231101
9,pigtail,71,225,117231109
10,pigtail,74,223,117231117
11,pigtail,76,223,117231125
12,pigtail,79,223,117231133
13,pigtail,83,222,117231141
14,pigtail,86,220,117231150
15,pigtail,89,219,117231158
16,pigtail,92,217,117231166
17,pigtail,94,216,117231174
18,pigtail,97,214,117231183
19,pigtail,101,210,117231191
20,pigtail,102,208,117231200
21,pigtail,105,206,117231201
22,pigtail,108,204,117231211
23,pigtail,111,201,117231220
24,pigtail,113,197,117231230
25,pigtail,115,194,117231240
26,pigtail,119,190,117231250
27,pigtail,121,186,117231261
28,pigtail,121,184,117231262
29,pigtail,122,182,117231272
30,pigtail,123,180,117231274
31,pigtail,124,176,117231285
32,pigtail,125,172,117231296
33,pigtail,126,167,117231308
34,pigtail,126,165,117231320
35,pigtail,126,160,117231332
36,pigtail,125,158,117231344
37,pigtail,124,156,117231357
38,pigtail,122,153,117231370
39,pigtail,120,152,117231382
40,pigtail,117,151,117231396
41,pigtail,115,151,117231409
42,pigtail,112,151,117231423
43,pigtail,110,152,117231437
44,pigtail,107,154,117231438
45,pigtail,105,156,117231453
46,pigtail,101,160,117231468
47,pigtail,98,164,117231483
48,pigtail,95,170,117231498
49,pigtail,93,175,117231513
50,pigtail,92,179,117231528
51,pigtail,91,182,117231529
52,pigtail,91,185,117231545
53,pigtail,90,188,117231546
54,pigtail,90,194,117231564
55,pigtail,90,197,117231580
56,pigtail,91,200,117231581
57,pigtail,93,206,117231598
58,pigtail,96,211,117231616
59,pigtail,101,215,117231633
60,pigtail,106,218,117231651
61,pigtail,111,222,117231668
62,pigtail,114,223,117231669
63,pigtail,119,225,117231688
64,pigtail,125,226,117231706
65,pigtail,132,225,117231725
66,pigtail,136,225,117231726
67,pigtail,144,223,117231745
68,pigtail,146,223,117231746
69,pigtail,156,220,117231766
70,pigtail,168,215,117231787
71,pigtail,178,210,117231807
72,pigtail,185,208,117231827
73,pigtail,189,203,117231847
74,pigtail,190,201,117231868
