idx,label,x,y,timestamp
0,pigtail,70,240,268061603
1,pigtail,73,239,268061623
2,pigtail,75,239,268061632
3,pigtail,77,238,268061640
4,pigtail,80,238,268061649
5,pigtail,83,237,268061657
6,pigtail,87,235,268061665
7,pigtail,89,234,268061671
8,pigtail,92,232,268061678
9,pigtail,94,231,268061684
10,pigtail,97,230,268061685
11,pigtail,99,228,268061693
12,pigtail,101,227,268061694
13,pigtail,105,224,268061701
14,pigtail,110,219,268061709
15,pigtail,116,214,268061717
16,pigtail,121,209,268061726
17,pigtail,126,203,268061734
18,pigtail,131,197,268061743
19,pigtail,135,191,268061751
20,pigtail,139,185,268061760
21,pigtail,141,182,268061761
22,pigtail,144,176,268061771
23,pigtail,147,170,268061781
24,pigtail,149,168,268061782
25,pigtail,151,163,268061792
26,pigtail,154,157,268061802
27,pigtail,155,154,268061812
28,pigtail,156,151,268061813
29,pigtail,156,148,268061824
30,pigtail,156,145,268061835
31,pigtail,155,139,268061847
32,pigtail,154,137,268061859
33,pigtail,150,132,268061872
34,pigtail,148,131,268061885
35,pigtail,146,129,268061886
36,pigtail,144,127,268061898
37,pigtail,139,127,268061912
38,pigtail,135,127,268061925
39,pigtail,133,128,268061939
40,pigtail,130,130,268061953
41,pigtail,126,134,268061967
42,pigtail,124,140,268061982
43,pigtail,122,145,268061996
44,pigtail,121,152,268062010
45,pigtail,121,159,268062026
46,pigtail,120,167,268062040
47,pigtail,120,173,268062056
48,pigtail,120,180,268062072
49,pigtail,120,182,268062073
50,pigtail,122,191,268062090
51,pigtail,124,198,268062106
52,pigtail,126,205,268062123
53,pigtail,129,212,268062140
54,pigtail,133,217,268062157
55,pigtail,137,222,268062177
56,pigtail,139,224,268062178
57,pigtail,144,228,268062195
58,pigtail,149,232,268062213
59,pigtail,155,235,268062230
60,pigtail,161,238,268062248
61,pigtail,164,239,268062249
62,pigtail,171,239,268062268
63,pigtail,177,240,268062287
64,pigtail,185,238,268062306
65,pigtail,191,235,268062325
66,pigtail,197,231,268062344
67,pigtail,201,229,268062363
68,pigtail,203,227,268062382
