idx,label,x,y,timestamp
0,pigtail,46,245,253246853
1,pigtail,49,245,253246884
2,pigtail,51,245,253246904
3,pigtail,53,244,253246921
4,pigtail,55,244,253246933
5,pigtail,57,243,253246945
6,pigtail,60,243,253246958
7,pigtail,62,241,253246966
8,pigtail,64,240,253246974
9,pigtail,66,239,253246982
10,pigtail,69,238,253246990
11,pigtail,71,236,253246998
12,pigtail,74,234,253247006
13,pigtail,77,233,253247015
14,pigtail,79,231,253247023
15,pigtail,82,228,253247031
16,pigtail,85,226,253247039
17,pigtail,88,224,253247048
18,pigtail,92,221,253247057
19,pigtail,95,218,253247065
20,pigtail,98,216,253247067
21,pigtail,101,213,253247076
22,pigtail,103,210,253247085
23,pigtail,108,204,253247095
24,pigtail,110,201,253247105
25,pigtail,114,196,253247115
26,pigtail,117,192,253247126
27,pigtail,119,189,253247136
28,pigtail,123,181,253247147
29,pigtail,126,176,253247158
30,pigtail,127,174,253247169
31,pigtail,128,172,253247170
32,pigtail,129,168,253247181
33,pigtail,130,166,253247193
34,pigtail,130,163,253247194
35,pigtail,131,160,253247210
36,pigtail,131,157,253247222
37,pigtail,131,155,253247235
38,pigtail,130,153,253247250
39,pigtail,127,152,253247266
40,pigtail,125,152,253247279
41,pigtail,123,153,253247293
42,pigtail,120,154,253247306
43,pigtail,118,156,253247320
44,pigtail,114,160,253247334
45,pigtail,110,163,253247348
46,pigtail,107,167,253247363
47,pigtail,102,175,253247383
48,pigtail,101,180,253247399
49,pigtail,98,188,253247414
50,pigtail,96,193,253247429
51,pigtail,95,204,253247445
52,pigtail,94,211,253247461
53,pigtail,96,223,253247478
54,pigtail,97,228,253247494
55,pigtail,101,234,253247511
56,pigtail,105,239,253247527
57,pigtail,111,244,253247543
58,pigtail,117,247,253247560
59,pigtail,126,250,253247579
60,pigtail,131,251,253247597
61,pigtail,135,252,253247614
62,pigtail,137,253,253247631
63,pigtail,140,253,253247649
