idx,label,x,y,timestamp
0,pigtail,44,199,202434469
1,pigtail,44,201,202434481
2,pigtail,44,204,202434498
3,pigtail,47,206,202434514
4,pigtail,49,206,202434522
5,pigtail,52,206,202434531
6,pigtail,54,207,202434537
7,pigtail,56,207,202434543
8,pigtail,58,207,202434544
9,pigtail,61,206,202434550
10,pigtail,63,205,202434551
11,pigtail,66,204,202434559
12,pigtail,70,203,202434560
13,pigtail,76,200,202434567
14,pigtail,83,196,202434575
15,pigtail,91,193,202434583
16,pigtail,99,190,202434592
17,pigtail,107,186,202434601
18,pigtail,114,183,202434609
19,pigtail,122,178,202434618
20,pigtail,125,176,202434619
21,pigtail,131,172,202434629
22,pigtail,136,168,202434638
23,pigtail,142,162,202434648
24,pigtail,146,157,202434658
25,pigtail,149,150,202434668
26,pigtail,151,145,202434678
27,pigtail,151,142,202434688
28,pigtail,151,140,202434698
29,pigtail,150,137,202434700
30,pigtail,148,137,202434710
31,pigtail,142,137,202434721
32,pigtail,135,140,202434733
33,pigtail,127,144,202434744
34,pigtail,119,147,202434756
35,pigtail,111,152,202434768
36,pigtail,103,159,202434780
37,pigtail,96,164,202434793
38,pigtail,90,172,202434806
39,pigtail,83,183,202434819
40,pigtail,81,191,202434833
41,pigtail,80,194,202434846
42,pigtail,83,201,202434859
43,pigtail,89,204,202434873
44,pigtail,99,207,202434887
45,pigtail,108,210,202434901
46,pigtail,119,210,202434916
47,pigtail,128,210,202434930
48,pigtail,130,210,202434931
49,pigtail,137,210,202434946
50,pigtail,139,209,202434947
51,pigtail,142,209,202434963
52,pigtail,144,207,202434964
53,pigtail,146,208,202434980
