idx,label,x,y,timestamp
0,pigtail,50,239,118925935
1,pigtail,52,239,118925980
2,pigtail,54,239,118926000
3,pigtail,56,237,118926017
4,pigtail,58,237,118926029
5,pigtail,60,238,118926041
6,pigtail,62,236,118926052
7,pigtail,64,235,118926065
8,pigtail,66,234,118926077
9,pigtail,69,233,118926089
10,pigtail,71,232,118926105
11,pigtail,73,232,118926121
12,pigtail,76,232,118926133
13,pigtail,78,230,118926149
14,pigtail,80,229,118926162
15,pigtail,82,228,118926175
16,pigtail,84,228,118926188
17,pigtail,87,226,118926200
18,pigtail,89,225,118926213
19,pigtail,91,224,118926228
20,pigtail,93,223,118926240
21,pigtail,96,222,118926253
22,pigtail,98,221,118926269
23,pigtail,100,220,118926281
24,pigtail,102,218,118926294
25,pigtail,104,218,118926309
26,pigtail,106,216,118926326
27,pigtail,108,215,118926346
28,pigtail,110,214,118926358
29,pigtail,113,213,118926378
30,pigtail,115,211,118926394
31,pigtail,117,209,118926410
32,pigtail,119,207,118926422
33,pigtail,121,206,118926438
34,pigtail,123,204,118926455
35,pigtail,125,202,118926471
36,pigtail,127,200,118926487
37,pigtail,128,197,118926499
38,pigtail,130,195,118926519
39,pigtail,131,193,118926532
40,pigtail,132,190,118926545
41,pigtail,133,188,118926563
42,pigtail,134,185,118926576
43,pigtail,135,183,118926590
44,pigtail,136,181,118926607
45,pigtail,137,179,118926621
46,pigtail,138,177,118926635
47,pigtail,139,175,118926668
48,pigtail,139,173,118926683
49,pigtail,139,171,118926697
50,pigtail,138,169,118926716
51,pigtail,137,167,118926736
52,pigtail,135,165,118926784
53,pigtail,134,163,118926805
54,pigtail,132,165,118926821
55,pigtail,130,164,118926842
56,pigtail,128,165,118926866
57,pigtail,126,165,118926886
58,pigtail,124,165,118926907
59,pigtail,123,167,118926924
60,pigtail,121,168,118926944
61,pigtail,119,170,118926961
62,pigtail,117,169,118926979
63,pigtail,115,171,118926997
64,pigtail,113,173,118927015
65,pigtail,111,175,118927033
66,pigtail,109,178,118927052
67,pigtail,107,180,118927070
68,pigtail,105,181,118927071
69,pigtail,104,183,118927090
70,pigtail,102,185,118927110
71,pigtail,99,189,118927130
72,pigtail,98,192,118927149
73,pigtail,95,196,118927169
74,pigtail,94,198,118927191
75,pigtail,91,203,118927211
76,pigtail,89,205,118927232
77,pigtail,88,209,118927252
78,pigtail,85,214,118927274
79,pigtail,84,216,118927295
80,pigtail,84,219,118927316
81,pigtail,83,223,118927338
82,pigtail,83,226,118927360
83,pigtail,83,228,118927383
84,pigtail,83,230,118927384
85,pigtail,82,232,118927407
86,pigtail,83,237,118927431
87,pigtail,84,239,118927455
88,pigtail,85,242,118927478
89,pigtail,86,244,118927504
90,pigtail,88,245,118927528
91,pigtail,91,247,118927551
92,pigtail,92,249,118927552
93,pigtail,95,249,118927575
94,pigtail,97,251,118927600
95,pigtail,101,251,118927624
96,pigtail,103,251,118927648
97,pigtail,106,251,118927673
98,pigtail,110,252,118927698
99,pigtail,115,253,118927723
100,pigtail,119,254,118927748
101,pigtail,121,253,118927773
102,pigtail,126,253,118927798
103,pigtail,131,252,118927824
104,pigtail,135,252,118927850
105,pigtail,138,251,118927851
106,pigtail,143,250,118927879
107,pigtail,149,249,118927908
108,pigtail,156,247,118927937
109,pigtail,162,244,118927966
110,pigtail,170,242,118927995
111,pigtail,175,240,118928024
112,pigtail,181,237,118928054
113,pigtail,183,236,118928082
