idx,label,x,y,timestamp
0,pigtail,54,218,124627310
1,pigtail,56,219,124627343
2,pigtail,58,221,124627355
3,pigtail,61,221,124627368
4,pigtail,64,220,124627376
5,pigtail,67,220,124627384
6,pigtail,69,220,124627392
7,pigtail,73,220,124627400
8,pigtail,76,220,124627408
9,pigtail,80,217,124627416
10,pigtail,83,216,124627424
11,pigtail,85,215,124627432
12,pigtail,87,214,124627433
13,pigtail,92,212,124627441
14,pigtail,96,208,124627449
15,pigtail,100,206,124627457
16,pigtail,104,202,124627466
17,pigtail,109,199,124627475
18,pigtail,115,194,124627484
19,pigtail,119,189,124627494
20,pigtail,123,185,124627503
21,pigtail,128,180,124627513
22,pigtail,131,175,124627522
23,pigtail,135,168,124627532
24,pigtail,137,165,124627543
25,pigtail,138,162,124627553
26,pigtail,139,159,124627563
27,pigtail,139,157,124627564
28,pigtail,138,155,124627575
29,pigtail,137,153,124627587
30,pigtail,134,152,124627598
31,pigtail,132,152,124627609
32,pigtail,128,156,124627621
33,pigtail,125,159,124627635
34,pigtail,120,164,124627647
35,pigtail,116,172,124627660
36,pigtail,111,180,124627673
37,pigtail,109,185,124627686
38,pigtail,107,196,124627700
39,pigtail,106,201,124627714
40,pigtail,110,212,124627729
41,pigtail,115,217,124627744
42,pigtail,117,218,124627745
43,pigtail,126,220,124627760
44,pigtail,130,219,124627761
45,pigtail,149,216,124627776
46,pigtail,165,212,124627793
