idx,label,x,y,timestamp
0,pigtail,57,216,124579756
1,pigtail,57,214,124579789
2,pigtail,59,214,124579912
3,pigtail,62,213,124579941
4,pigtail,64,211,124579961
5,pigtail,66,210,124579978
6,pigtail,68,209,124579998
7,pigtail,69,207,124580010
8,pigtail,71,206,124580026
9,pigtail,73,206,124580042
10,pigtail,75,205,124580058
11,pigtail,77,203,124580074
12,pigtail,80,201,124580099
13,pigtail,82,201,124580114
14,pigtail,84,199,124580135
15,pigtail,86,197,124580148
16,pigtail,88,195,124580164
17,pigtail,90,193,124580176
18,pigtail,92,192,124580193
19,pigtail,94,189,124580205
20,pigtail,96,187,124580221
21,pigtail,98,185,124580237
22,pigtail,101,182,124580254
23,pigtail,102,180,124580265
24,pigtail,104,179,124580282
25,pigtail,106,177,124580294
26,pigtail,108,176,124580306
27,pigtail,110,173,124580318
28,pigtail,112,171,124580335
29,pigtail,114,169,124580352
30,pigtail,116,167,124580368
31,pigtail,118,165,124580388
32,pigtail,119,162,124580404
33,pigtail,120,160,124580425
34,pigtail,121,157,124580442
35,pigtail,122,155,124580455
36,pigtail,123,153,124580475
37,pigtail,124,151,124580491
38,pigtail,125,149,124580511
39,pigtail,125,147,124580524
40,pigtail,125,145,124580551
41,pigtail,125,142,124580580
42,pigtail,124,140,124580604
43,pigtail,122,139,124580679
44,pigtail,120,138,124580724
45,pigtail,118,137,124580757
46,pigtail,116,137,124580797
47,pigtail,114,137,124580825
48,pigtail,112,138,124580865
49,pigtail,111,140,124580894
50,pigtail,109,141,124580941
51,pigtail,108,143,124580993
52,pigtail,107,145,124581014
53,pigtail,106,147,124581043
54,pigtail,106,150,124581088
55,pigtail,105,152,124581113
56,pigtail,104,154,124581132
57,pigtail,104,156,124581173
58,pigtail,103,158,124581197
59,pigtail,103,160,124581214
60,pigtail,103,162,124581241
61,pigtail,103,164,124581259
62,pigtail,104,166,124581281
63,pigtail,105,169,124581305
64,pigtail,106,171,124581325
65,pigtail,106,173,124581344
66,pigtail,106,175,124581362
67,pigtail,106,177,124581382
68,pigtail,106,179,124581401
69,pigtail,106,185,124581421
70,pigtail,106,187,124581441
71,pigtail,105,190,124581461
72,pigtail,106,192,124581489
73,pigtail,106,194,124581509
74,pigtail,107,196,124581530
75,pigtail,109,198,124581554
76,pigtail,111,199,124581582
77,pigtail,113,202,124581604
78,pigtail,115,203,124581626
79,pigtail,117,204,124581650
80,pigtail,119,205,124581672
81,pigtail,121,206,124581697
82,pigtail,125,206,124581723
83,pigtail,128,206,124581746
84,pigtail,130,207,124581771
85,pigtail,135,209,124581794
86,pigtail,137,208,124581817
87,pigtail,139,208,124581840
88,pigtail,143,206,124581864
89,pigtail,145,206,124581888
90,pigtail,147,206,124581911
91,pigtail,149,206,124581935
92,pigtail,151,205,124581960
93,pigtail,153,205,124581984
94,pigtail,157,203,124582009
95,pigtail,161,201,124582034
96,pigtail,166,200,124582059
97,pigtail,171,197,124582085
98,pigtail,174,196,124582110
