idx,label,x,y,timestamp
0,pigtail,63,213,121049490
1,pigtail,62,216,121049510
2,pigtail,65,217,121049526
3,pigtail,67,218,121049534
4,pigtail,71,217,121049542
5,pigtail,73,218,121049549
6,pigtail,79,217,121049556
7,pigtail,85,216,121049563
8,pigtail,92,214,121049570
9,pigtail,99,212,121049578
10,pigtail,103,210,121049586
11,pigtail,107,208,121049587
12,pigtail,114,205,121049597
13,pigtail,121,200,121049606
14,pigtail,125,197,121049607
15,pigtail,130,193,121049617
16,pigtail,133,191,121049619
17,pigtail,137,185,121049629
18,pigtail,140,176,121049639
19,pigtail,142,169,121049650
20,pigtail,142,166,121049651
21,pigtail,143,158,121049661
22,pigtail,143,151,121049672
23,pigtail,142,147,121049682
24,pigtail,141,144,121049693
25,pigtail,138,142,121049704
26,pigtail,135,142,121049715
27,pigtail,129,144,121049726
28,pigtail,123,147,121049738
29,pigtail,116,152,121049751
30,pigtail,110,159,121049763
31,pigtail,104,167,121049775
32,pigtail,100,174,121049788
33,pigtail,96,183,121049801
34,pigtail,96,186,121049803
35,pigtail,95,195,121049817
36,pigtail,97,203,121049830
37,pigtail,100,208,121049843
38,pigtail,103,212,121049857
39,pigtail,106,214,121049859
40,pigtail,109,217,121049874
41,pigtail,113,219,121049875
42,pigtail,121,224,121049892
43,pigtail,131,225,121049907
44,pigtail,142,225,121049923
45,pigtail,152,223,121049938
46,pigtail,157,221,121049955
47,pigtail,163,218,121049971
48,pigtail,165,216,121049986
49,pigtail,167,214,121050002
50,pigtail,168,212,121050020
51,pigtail,169,210,121050051
52,pigtail,167,208,121050112
