idx,label,x,y,timestamp
0,question_mark,86,175,202587175
1,question_mark,85,173,202587191
2,question_mark,85,171,202587199
3,question_mark,86,168,202587207
4,question_mark,87,165,202587220
5,question_mark,87,163,202587226
6,question_mark,89,160,202587233
7,question_mark,90,158,202587240
8,question_mark,92,155,202587250
9,question_mark,93,152,202587258
10,question_mark,96,149,202587271
11,question_mark,98,148,202587279
12,question_mark,100,145,202587287
13,question_mark,102,142,202587296
14,question_mark,104,141,202587303
15,question_mark,106,139,202587312
16,question_mark,108,139,202587321
17,question_mark,110,138,202587330
18,question_mark,112,137,202587338
19,question_mark,115,136,202587347
20,question_mark,117,136,202587356
21,question_mark,119,136,202587365
22,question_mark,122,137,202587374
23,question_mark,124,138,202587383
24,question_mark,127,138,202587393
25,question_mark,133,142,202587403
26,question_mark,136,143,202587413
27,question_mark,138,143,202587423
28,question_mark,140,145,202587434
29,question_mark,142,147,202587435
30,question_mark,143,150,202587446
31,question_mark,144,152,202587457
32,question_mark,144,158,202587468
33,question_mark,143,161,202587480
34,question_mark,143,167,202587491
35,question_mark,142,169,202587503
36,question_mark,142,175,202587515
37,question_mark,141,177,202587528
38,question_mark,140,180,202587540
39,question_mark,138,185,202587553
40,question_mark,135,187,202587566
41,question_mark,134,189,202587567
42,question_mark,132,192,202587581
43,question_mark,128,194,202587595
44,question_mark,122,195,202587609
45,question_mark,116,198,202587623
46,question_mark,110,198,202587638
47,question_mark,107,200,202587653
48,question_mark,104,200,202587667
49,question_mark,102,204,202587682
50,question_mark,103,207,202587702
51,question_mark,104,210,202587717
52,question_mark,106,216,202587733
53,question_mark,106,222,202587749
54,question_mark,106,224,202587750
55,question_mark,105,241,202587797
56,question_mark,104,243,202587815
57,question_mark,105,241,202587870
