idx,label,x,y,timestamp
0,question_mark,68,191,118418651
1,question_mark,68,189,118418665
2,question_mark,68,187,118418681
3,question_mark,69,183,118418690
4,question_mark,70,180,118418697
5,question_mark,72,178,118418706
6,question_mark,74,175,118418712
7,question_mark,76,171,118418718
8,question_mark,78,169,118418725
9,question_mark,79,167,118418731
10,question_mark,83,162,118418738
11,question_mark,85,159,118418745
12,question_mark,88,157,118418753
13,question_mark,91,154,118418760
14,question_mark,94,151,118418768
15,question_mark,98,149,118418776
16,question_mark,101,147,118418784
17,question_mark,104,146,118418792
18,question_mark,107,144,118418801
19,question_mark,110,144,118418809
20,question_mark,113,144,118418818
21,question_mark,116,144,118418828
22,question_mark,118,146,118418837
23,question_mark,122,149,118418847
24,question_mark,124,152,118418857
25,question_mark,125,155,118418867
26,question_mark,126,158,118418877
27,question_mark,126,161,118418879
28,question_mark,127,165,118418889
29,question_mark,127,167,118418900
30,question_mark,127,173,118418911
31,question_mark,126,180,118418923
32,question_mark,125,183,118418934
33,question_mark,123,190,118418946
34,question_mark,121,197,118418958
35,question_mark,120,201,118418971
36,question_mark,116,208,118418983
37,question_mark,114,213,118418996
38,question_mark,112,216,118419009
39,question_mark,108,222,118419022
40,question_mark,106,223,118419035
41,question_mark,104,224,118419049
42,question_mark,99,225,118419063
43,question_mark,97,226,118419076
44,question_mark,95,227,118419090
45,question_mark,93,227,118419104
46,question_mark,92,230,118419119
47,question_mark,90,232,118419133
48,question_mark,89,234,118419149
49,question_mark,89,239,118419164
50,question_mark,89,242,118419179
51,question_mark,89,247,118419194
52,question_mark,90,251,118419213
53,question_mark,91,253,118419229
