idx,label,x,y,timestamp
0,question_mark,128,156,268416582
1,question_mark,127,154,268416594
2,question_mark,127,152,268416606
3,question_mark,127,150,268416619
4,question_mark,129,147,268416636
5,question_mark,131,143,268416643
6,question_mark,134,141,268416650
7,question_mark,137,139,268416658
8,question_mark,141,138,268416666
9,question_mark,145,136,268416674
10,question_mark,147,135,268416681
11,question_mark,151,133,268416688
12,question_mark,155,132,268416696
13,question_mark,160,132,268416703
14,question_mark,164,132,268416711
15,question_mark,167,134,268416719
16,question_mark,170,138,268416727
17,question_mark,171,140,268416735
18,question_mark,173,145,268416744
19,question_mark,173,151,268416753
20,question_mark,170,158,268416762
21,question_mark,167,164,268416771
22,question_mark,164,169,268416781
23,question_mark,157,177,268416791
24,question_mark,152,182,268416801
25,question_mark,145,189,268416811
26,question_mark,140,193,268416822
27,question_mark,138,194,268416823
28,question_mark,133,197,268416835
29,question_mark,130,199,268416847
30,question_mark,128,201,268416859
31,question_mark,125,205,268416871
32,question_mark,125,207,268416883
33,question_mark,125,210,268416895
34,question_mark,126,216,268416908
35,question_mark,127,219,268416921
36,question_mark,128,223,268416922
37,question_mark,130,232,268416938
38,question_mark,131,236,268416951
39,question_mark,132,242,268416965
40,question_mark,132,247,268416982
41,question_mark,132,249,268416998
42,question_mark,130,246,268417023
