idx,label,x,y,timestamp
0,question_mark,111,149,753107
1,question_mark,110,147,753131
2,question_mark,110,144,753143
3,question_mark,109,142,753167
4,question_mark,109,139,753182
5,question_mark,108,137,753190
6,question_mark,108,135,753198
7,question_mark,109,132,753210
8,question_mark,110,130,753226
9,question_mark,111,127,753234
10,question_mark,113,125,753250
11,question_mark,115,123,753266
12,question_mark,118,121,753279
13,question_mark,121,120,753291
14,question_mark,123,119,753300
15,question_mark,125,118,753308
16,question_mark,128,117,753317
17,question_mark,130,117,753327
18,question_mark,133,117,753337
19,question_mark,137,117,753348
20,question_mark,139,118,753357
21,question_mark,142,119,753367
22,question_mark,144,120,753377
23,question_mark,146,121,753388
24,question_mark,148,122,753400
25,question_mark,151,124,753413
26,question_mark,155,129,753426
27,question_mark,157,132,753437
28,question_mark,159,134,753448
29,question_mark,161,139,753461
30,question_mark,163,141,753475
31,question_mark,165,147,753488
32,question_mark,166,149,753500
33,question_mark,166,152,753513
34,question_mark,166,154,753526
35,question_mark,165,159,753541
36,question_mark,164,161,753554
37,question_mark,163,164,753569
38,question_mark,158,167,753584
39,question_mark,156,169,753598
40,question_mark,151,170,753614
41,question_mark,146,171,753630
42,question_mark,141,173,753646
43,question_mark,136,176,753663
44,question_mark,132,177,753682
45,question_mark,130,177,753684
46,question_mark,128,178,753700
47,question_mark,126,178,753714
48,question_mark,123,180,753729
49,question_mark,121,181,753744
50,question_mark,121,184,753763
51,question_mark,121,187,753783
52,question_mark,121,189,753799
53,question_mark,121,191,753800
54,question_mark,121,196,753817
55,question_mark,121,202,753833
56,question_mark,122,206,753850
57,question_mark,123,209,753866
58,question_mark,123,211,753867
59,question_mark,124,213,753887
60,question_mark,124,215,753904
61,question_mark,123,217,753921
