idx,label,x,y,timestamp
0,question_mark,96,172,122812461
1,question_mark,94,169,122812514
2,question_mark,92,167,122812530
3,question_mark,91,165,122812542
4,question_mark,90,162,122812550
5,question_mark,89,160,122812559
6,question_mark,88,157,122812567
7,question_mark,87,155,122812577
8,question_mark,87,153,122812583
9,question_mark,87,150,122812592
10,question_mark,88,146,122812605
11,question_mark,89,143,122812613
12,question_mark,92,141,122812625
13,question_mark,94,138,122812634
14,question_mark,97,135,122812641
15,question_mark,100,134,122812649
16,question_mark,103,132,122812657
17,question_mark,107,131,122812666
18,question_mark,111,129,122812674
19,question_mark,115,128,122812684
20,question_mark,121,128,122812694
21,question_mark,125,129,122812703
22,question_mark,128,130,122812713
23,question_mark,130,131,122812723
24,question_mark,135,136,122812734
25,question_mark,137,139,122812744
26,question_mark,138,141,122812745
27,question_mark,139,145,122812756
28,question_mark,139,147,122812757
29,question_mark,139,151,122812769
30,question_mark,139,157,122812783
31,question_mark,139,163,122812796
32,question_mark,136,171,122812810
33,question_mark,135,173,122812824
34,question_mark,132,180,122812836
35,question_mark,128,185,122812849
36,question_mark,126,185,122812862
37,question_mark,121,188,122812874
38,question_mark,119,189,122812887
39,question_mark,114,190,122812901
40,question_mark,112,192,122812914
41,question_mark,109,193,122812928
42,question_mark,106,197,122812942
43,question_mark,104,202,122812956
44,question_mark,104,207,122812970
45,question_mark,104,211,122812985
46,question_mark,105,219,122813000
47,question_mark,106,228,122813014
48,question_mark,107,235,122813030
49,question_mark,108,241,122813045
50,question_mark,111,246,122813061
51,question_mark,112,249,122813076
