idx,label,x,y,timestamp
0,question_mark,105,163,10726703
1,question_mark,105,161,10726731
2,question_mark,108,160,10726776
3,question_mark,110,159,10726792
4,question_mark,113,157,10726803
5,question_mark,116,157,10726815
6,question_mark,118,155,10726823
7,question_mark,120,154,10726831
8,question_mark,123,153,10726843
9,question_mark,126,152,10726851
10,question_mark,128,152,10726860
11,question_mark,130,151,10726867
12,question_mark,133,151,10726879
13,question_mark,135,149,10726891
14,question_mark,138,149,10726904
15,question_mark,140,149,10726916
16,question_mark,142,148,10726932
17,question_mark,144,149,10726948
18,question_mark,147,148,10726965
19,question_mark,149,148,10726981
20,question_mark,151,149,10727001
21,question_mark,153,150,10727021
22,question_mark,155,152,10727041
23,question_mark,157,154,10727065
24,question_mark,159,156,10727093
25,question_mark,160,158,10727109
26,question_mark,161,160,10727126
27,question_mark,162,163,10727142
28,question_mark,163,165,10727157
29,question_mark,163,167,10727178
30,question_mark,163,170,10727191
31,question_mark,163,172,10727204
32,question_mark,163,175,10727221
33,question_mark,163,178,10727234
34,question_mark,162,180,10727248
35,question_mark,162,182,10727262
36,question_mark,162,185,10727276
37,question_mark,161,187,10727290
38,question_mark,161,189,10727305
39,question_mark,160,191,10727319
40,question_mark,158,193,10727334
41,question_mark,157,195,10727350
42,question_mark,155,198,10727365
43,question_mark,153,200,10727381
44,question_mark,151,201,10727398
45,question_mark,148,203,10727417
46,question_mark,146,204,10727434
47,question_mark,144,205,10727450
48,question_mark,141,207,10727466
49,question_mark,137,209,10727482
50,question_mark,135,211,10727498
51,question_mark,132,214,10727514
52,question_mark,129,216,10727537
53,question_mark,127,218,10727556
54,question_mark,125,220,10727574
55,question_mark,124,222,10727593
56,question_mark,123,224,10727612
57,question_mark,122,226,10727631
58,question_mark,121,229,10727651
59,question_mark,120,231,10727673
60,question_mark,120,234,10727694
61,question_mark,119,237,10727714
62,question_mark,119,239,10727733
63,question_mark,119,241,10727752
64,question_mark,119,244,10727772
65,question_mark,118,246,10727793
66,question_mark,119,249,10727815
67,question_mark,119,251,10727862
