idx,label,x,y,timestamp
0,question_mark,111,191,122828912
1,question_mark,109,189,122828924
2,question_mark,107,187,122828936
3,question_mark,105,185,122828943
4,question_mark,102,182,122828951
5,question_mark,101,179,122828960
6,question_mark,98,175,122828968
7,question_mark,98,173,122828974
8,question_mark,96,168,122828981
9,question_mark,96,166,122828987
10,question_mark,95,163,122828988
11,question_mark,95,161,122828997
12,question_mark,95,155,122829005
13,question_mark,96,150,122829013
14,question_mark,97,145,122829020
15,question_mark,99,141,122829028
16,question_mark,102,135,122829037
17,question_mark,103,133,122829045
18,question_mark,109,129,122829054
19,question_mark,111,127,122829062
20,question_mark,114,124,122829072
21,question_mark,118,121,122829073
22,question_mark,122,120,122829084
23,question_mark,124,121,122829085
24,question_mark,127,121,122829095
25,question_mark,131,120,122829106
26,question_mark,136,125,122829116
27,question_mark,139,128,122829127
28,question_mark,142,135,122829138
29,question_mark,143,142,122829149
30,question_mark,143,152,122829160
31,question_mark,142,163,122829172
32,question_mark,141,175,122829184
33,question_mark,138,187,122829196
34,question_mark,135,197,122829209
35,question_mark,131,206,122829221
36,question_mark,127,214,122829234
37,question_mark,123,223,122829247
38,question_mark,122,226,122829248
39,question_mark,120,235,122829264
40,question_mark,121,242,122829277
41,question_mark,123,246,122829291
42,question_mark,128,250,122829305
43,question_mark,135,252,122829319
