idx,label,x,y,timestamp
0,rectangle,71,146,913821
1,rectangle,71,149,913865
2,rectangle,72,151,913873
3,rectangle,72,154,913881
4,rectangle,72,156,913886
5,rectangle,73,159,913893
6,rectangle,73,161,913899
7,rectangle,73,166,913906
8,rectangle,73,168,913913
9,rectangle,73,170,913914
10,rectangle,73,175,913922
11,rectangle,73,180,913929
12,rectangle,73,185,913937
13,rectangle,73,188,913945
14,rectangle,73,190,913946
15,rectangle,73,196,913955
16,rectangle,73,202,913964
17,rectangle,73,206,913973
18,rectangle,73,208,913974
19,rectangle,74,213,913984
20,rectangle,74,216,913993
21,rectangle,74,219,913994
22,rectangle,74,224,914004
23,rectangle,74,226,914006
24,rectangle,75,229,914016
25,rectangle,75,231,914017
26,rectangle,75,236,914030
27,rectangle,75,239,914040
28,rectangle,75,241,914042
29,rectangle,75,244,914053
30,rectangle,75,246,914070
31,rectangle,75,248,914102
32,rectangle,77,248,914183
33,rectangle,79,246,914208
34,rectangle,81,246,914224
35,rectangle,84,246,914236
36,rectangle,87,246,914248
37,rectangle,89,245,914261
38,rectangle,94,246,914274
39,rectangle,97,246,914287
40,rectangle,104,247,914300
41,rectangle,111,247,914314
42,rectangle,119,249,914328
43,rectangle,127,250,914345
44,rectangle,133,251,914359
45,rectangle,135,252,914361
46,rectangle,146,252,914380
47,rectangle,152,251,914396
48,rectangle,154,252,914397
49,rectangle,160,251,914413
50,rectangle,168,252,914429
51,rectangle,174,253,914446
52,rectangle,179,253,914462
53,rectangle,183,254,914478
54,rectangle,185,255,914494
55,rectangle,187,255,914510
56,rectangle,189,257,914544
57,rectangle,189,255,914604
58,rectangle,188,252,914625
59,rectangle,188,250,914642
60,rectangle,187,245,914660
61,rectangle,187,240,914678
62,rectangle,185,230,914696
63,rectangle,185,221,914714
64,rectangle,184,213,914733
65,rectangle,184,205,914752
66,rectangle,183,194,914771
67,rectangle,181,184,914791
68,rectangle,181,173,914811
69,rectangle,180,165,914830
70,rectangle,180,157,914850
71,rectangle,180,151,914870
72,rectangle,179,149,914890
73,rectangle,179,146,914910
74,rectangle,177,142,914933
75,rectangle,177,139,914954
76,rectangle,175,136,914975
77,rectangle,172,132,914996
78,rectangle,169,130,915017
79,rectangle,165,129,915038
80,rectangle,161,130,915060
81,rectangle,153,130,915082
82,rectangle,146,130,915104
83,rectangle,138,132,915126
84,rectangle,130,133,915150
85,rectangle,124,134,915172
86,rectangle,121,134,915173
87,rectangle,112,136,915199
88,rectangle,104,136,915223
89,rectangle,96,134,915247
90,rectangle,89,135,915271
91,rectangle,85,136,915295
92,rectangle,83,136,915319
93,rectangle,81,136,915344
94,rectangle,79,135,915368
