idx,label,x,y,timestamp
0,rectangle,64,163,120485806
1,rectangle,64,166,120485844
2,rectangle,64,168,120485855
3,rectangle,64,170,120485860
4,rectangle,65,174,120485867
5,rectangle,65,177,120485876
6,rectangle,66,180,120485884
7,rectangle,67,182,120485890
8,rectangle,68,187,120485897
9,rectangle,68,189,120485903
10,rectangle,68,191,120485904
11,rectangle,68,193,120485911
12,rectangle,69,196,120485913
13,rectangle,69,200,120485921
14,rectangle,69,203,120485930
15,rectangle,68,206,120485938
16,rectangle,68,209,120485948
17,rectangle,68,211,120485956
18,rectangle,68,214,120485967
19,rectangle,69,216,120485983
20,rectangle,71,218,120486004
21,rectangle,73,219,120486016
22,rectangle,76,219,120486027
23,rectangle,78,218,120486036
24,rectangle,81,218,120486046
25,rectangle,87,217,120486057
26,rectangle,94,215,120486067
27,rectangle,99,216,120486078
28,rectangle,107,216,120486089
29,rectangle,116,216,120486100
30,rectangle,125,217,120486111
31,rectangle,131,216,120486123
32,rectangle,135,216,120486124
33,rectangle,144,216,120486136
34,rectangle,154,216,120486148
35,rectangle,163,216,120486161
36,rectangle,172,215,120486174
37,rectangle,179,215,120486186
38,rectangle,181,215,120486187
39,rectangle,186,215,120486200
40,rectangle,189,215,120486214
41,rectangle,191,214,120486228
42,rectangle,190,212,120486271
43,rectangle,188,212,120486285
44,rectangle,185,210,120486299
45,rectangle,182,210,120486313
46,rectangle,178,206,120486328
47,rectangle,175,198,120486343
48,rectangle,173,191,120486358
49,rectangle,173,188,120486359
50,rectangle,171,175,120486376
51,rectangle,169,159,120486392
52,rectangle,169,146,120486408
53,rectangle,169,140,120486424
54,rectangle,168,134,120486440
55,rectangle,166,133,120486456
56,rectangle,161,132,120486476
57,rectangle,159,132,120486493
58,rectangle,154,134,120486510
59,rectangle,149,137,120486527
60,rectangle,144,140,120486545
61,rectangle,137,142,120486563
62,rectangle,135,142,120486564
63,rectangle,124,146,120486583
64,rectangle,115,148,120486602
65,rectangle,112,149,120486603
66,rectangle,102,150,120486623
67,rectangle,100,150,120486624
68,rectangle,87,151,120486644
69,rectangle,78,151,120486664
70,rectangle,71,149,120486684
71,rectangle,69,151,120486703
