idx,label,x,y,timestamp
0,rectangle,63,134,87572317
1,rectangle,63,136,87572349
2,rectangle,63,138,87572361
3,rectangle,63,141,87572370
4,rectangle,63,144,87572379
5,rectangle,64,147,87572386
6,rectangle,64,150,87572393
7,rectangle,64,152,87572399
8,rectangle,64,157,87572406
9,rectangle,64,159,87572412
10,rectangle,64,161,87572413
11,rectangle,64,164,87572420
12,rectangle,64,168,87572421
13,rectangle,64,171,87572429
14,rectangle,64,175,87572430
15,rectangle,64,181,87572438
16,rectangle,64,188,87572446
17,rectangle,64,194,87572454
18,rectangle,65,200,87572463
19,rectangle,66,206,87572471
20,rectangle,66,212,87572480
21,rectangle,67,214,87572481
22,rectangle,68,218,87572491
23,rectangle,68,220,87572501
24,rectangle,69,223,87572511
25,rectangle,70,225,87572525
26,rectangle,72,224,87572580
27,rectangle,75,224,87572600
28,rectangle,77,222,87572612
29,rectangle,79,221,87572623
30,rectangle,82,220,87572634
31,rectangle,90,217,87572645
32,rectangle,98,215,87572657
33,rectangle,108,215,87572669
34,rectangle,118,213,87572681
35,rectangle,127,213,87572694
36,rectangle,137,214,87572707
37,rectangle,150,213,87572720
38,rectangle,159,214,87572733
39,rectangle,167,213,87572747
40,rectangle,176,214,87572761
41,rectangle,183,214,87572775
42,rectangle,189,214,87572789
43,rectangle,194,214,87572803
44,rectangle,199,215,87572819
45,rectangle,204,214,87572834
46,rectangle,207,214,87572848
47,rectangle,209,215,87572863
48,rectangle,211,213,87572877
49,rectangle,213,214,87572905
50,rectangle,211,213,87573005
51,rectangle,211,211,87573021
52,rectangle,209,208,87573022
53,rectangle,208,204,87573040
54,rectangle,204,194,87573058
55,rectangle,202,184,87573076
56,rectangle,202,182,87573077
57,rectangle,201,170,87573096
58,rectangle,200,159,87573114
59,rectangle,199,152,87573132
60,rectangle,197,148,87573150
61,rectangle,195,139,87573168
62,rectangle,193,135,87573186
63,rectangle,193,132,87573204
64,rectangle,191,131,87573225
65,rectangle,190,129,87573243
66,rectangle,187,128,87573262
67,rectangle,185,126,87573280
68,rectangle,181,127,87573299
69,rectangle,173,129,87573318
70,rectangle,162,130,87573339
71,rectangle,150,133,87573359
72,rectangle,138,134,87573379
73,rectangle,124,135,87573400
74,rectangle,108,137,87573421
75,rectangle,99,137,87573444
76,rectangle,90,137,87573465
77,rectangle,85,136,87573486
78,rectangle,81,137,87573508
79,rectangle,77,136,87573529
