idx,label,x,y,timestamp
0,rectangle,89,138,929996
1,rectangle,88,140,930025
2,rectangle,87,142,930034
3,rectangle,87,144,930040
4,rectangle,86,148,930047
5,rectangle,86,150,930054
6,rectangle,86,153,930055
7,rectangle,86,156,930062
8,rectangle,86,158,930063
9,rectangle,86,164,930071
10,rectangle,86,167,930078
11,rectangle,86,169,930079
12,rectangle,86,175,930087
13,rectangle,86,180,930095
14,rectangle,86,186,930103
15,rectangle,86,192,930111
16,rectangle,87,198,930119
17,rectangle,87,203,930127
18,rectangle,87,209,930136
19,rectangle,87,214,930145
20,rectangle,88,219,930154
21,rectangle,88,221,930163
22,rectangle,89,225,930172
23,rectangle,89,227,930186
24,rectangle,91,229,930210
25,rectangle,92,227,930234
26,rectangle,94,224,930251
27,rectangle,95,222,930263
28,rectangle,97,221,930275
29,rectangle,100,220,930287
30,rectangle,103,219,930298
31,rectangle,106,219,930310
32,rectangle,115,217,930322
33,rectangle,118,217,930323
34,rectangle,126,218,930338
35,rectangle,136,218,930350
36,rectangle,139,218,930351
37,rectangle,149,221,930366
38,rectangle,161,222,930379
39,rectangle,170,224,930393
40,rectangle,178,225,930407
41,rectangle,181,225,930408
42,rectangle,188,226,930424
43,rectangle,195,225,930438
44,rectangle,200,224,930453
45,rectangle,202,225,930467
46,rectangle,202,223,930501
47,rectangle,201,221,930516
48,rectangle,200,219,930517
49,rectangle,198,209,930535
50,rectangle,196,194,930551
51,rectangle,194,179,930567
52,rectangle,193,167,930583
53,rectangle,193,156,930599
54,rectangle,193,146,930616
55,rectangle,193,144,930617
56,rectangle,193,135,930635
57,rectangle,193,130,930652
58,rectangle,193,127,930669
59,rectangle,193,124,930686
60,rectangle,191,124,930717
61,rectangle,189,124,930734
62,rectangle,187,125,930752
63,rectangle,181,124,930770
64,rectangle,171,125,930789
65,rectangle,168,126,930790
66,rectangle,154,128,930811
67,rectangle,139,129,930831
68,rectangle,123,131,930850
69,rectangle,110,130,930871
70,rectangle,100,128,930890
71,rectangle,95,127,930910
72,rectangle,93,128,930930
