idx,label,x,y,timestamp
0,rectangle,30,121,123149746
1,rectangle,32,124,123149758
2,rectangle,34,127,123149767
3,rectangle,36,131,123149775
4,rectangle,37,133,123149782
5,rectangle,39,140,123149788
6,rectangle,40,144,123149794
7,rectangle,42,150,123149800
8,rectangle,42,155,123149807
9,rectangle,43,159,123149808
10,rectangle,44,164,123149814
11,rectangle,44,169,123149816
12,rectangle,44,175,123149823
13,rectangle,45,180,123149824
14,rectangle,45,191,123149832
15,rectangle,45,203,123149840
16,rectangle,44,214,123149848
17,rectangle,44,223,123149857
18,rectangle,43,232,123149865
19,rectangle,42,239,123149874
20,rectangle,42,243,123149875
21,rectangle,42,249,123149885
22,rectangle,42,252,123149894
23,rectangle,42,256,123149895
24,rectangle,43,260,123149906
25,rectangle,45,261,123149916
26,rectangle,48,262,123149927
27,rectangle,51,261,123149938
28,rectangle,56,260,123149948
29,rectangle,65,256,123149960
30,rectangle,75,256,123149971
31,rectangle,82,254,123149983
32,rectangle,86,255,123149984
33,rectangle,99,255,123149996
34,rectangle,113,256,123150008
35,rectangle,127,258,123150021
36,rectangle,142,258,123150034
37,rectangle,161,261,123150047
38,rectangle,174,265,123150060
39,rectangle,184,266,123150074
40,rectangle,196,269,123150088
41,rectangle,203,271,123150101
42,rectangle,210,269,123150115
43,rectangle,212,267,123150130
44,rectangle,214,263,123150144
45,rectangle,215,259,123150159
46,rectangle,215,256,123150160
47,rectangle,214,250,123150174
48,rectangle,213,247,123150175
49,rectangle,211,233,123150191
50,rectangle,208,216,123150207
51,rectangle,205,190,123150223
52,rectangle,203,168,123150240
53,rectangle,202,152,123150257
54,rectangle,202,139,123150274
55,rectangle,202,129,123150290
56,rectangle,202,127,123150291
57,rectangle,202,119,123150308
58,rectangle,202,117,123150331
59,rectangle,199,118,123150357
60,rectangle,197,119,123150374
61,rectangle,193,122,123150392
62,rectangle,187,122,123150410
63,rectangle,177,124,123150428
64,rectangle,175,124,123150430
65,rectangle,162,124,123150449
66,rectangle,158,124,123150450
67,rectangle,137,123,123150469
68,rectangle,115,121,123150490
69,rectangle,91,116,123150510
70,rectangle,65,114,123150530
71,rectangle,42,111,123150551
72,rectangle,29,110,123150572
73,rectangle,27,111,123150592
