idx,label,x,y,timestamp
0,rectangle,22,150,117324950
1,rectangle,24,153,117325015
2,rectangle,25,155,117325031
3,rectangle,25,157,117325040
4,rectangle,26,160,117325047
5,rectangle,26,163,117325055
6,rectangle,26,165,117325063
7,rectangle,27,167,117325071
8,rectangle,27,171,117325083
9,rectangle,27,174,117325091
10,rectangle,27,177,117325099
11,rectangle,27,180,117325107
12,rectangle,27,183,117325115
13,rectangle,27,186,117325124
14,rectangle,27,188,117325131
15,rectangle,28,191,117325139
16,rectangle,28,193,117325147
17,rectangle,29,196,117325156
18,rectangle,29,198,117325164
19,rectangle,29,201,117325173
20,rectangle,29,204,117325182
21,rectangle,29,206,117325191
22,rectangle,30,208,117325200
23,rectangle,30,211,117325210
24,rectangle,31,213,117325220
25,rectangle,31,218,117325232
26,rectangle,31,221,117325243
27,rectangle,32,223,117325254
28,rectangle,32,225,117325256
29,rectangle,32,228,117325266
30,rectangle,33,230,117325278
31,rectangle,33,232,117325289
32,rectangle,33,237,117325300
33,rectangle,34,239,117325314
34,rectangle,35,242,117325327
35,rectangle,35,244,117325339
36,rectangle,36,246,117325351
37,rectangle,36,249,117325363
38,rectangle,36,251,117325378
39,rectangle,36,253,117325394
40,rectangle,36,255,117325407
41,rectangle,36,257,117325426
42,rectangle,38,259,117325467
43,rectangle,40,259,117325487
44,rectangle,42,259,117325501
45,rectangle,44,259,117325515
46,rectangle,53,258,117325551
47,rectangle,59,259,117325566
48,rectangle,67,258,117325581
49,rectangle,75,258,117325596
50,rectangle,84,258,117325612
51,rectangle,92,258,117325628
52,rectangle,99,258,117325644
53,rectangle,105,258,117325660
54,rectangle,111,258,117325676
55,rectangle,117,257,117325693
56,rectangle,122,256,117325709
57,rectangle,128,256,117325726
58,rectangle,133,256,117325743
59,rectangle,139,255,117325760
60,rectangle,144,254,117325778
61,rectangle,152,253,117325796
62,rectangle,157,252,117325813
63,rectangle,162,252,117325831
64,rectangle,166,252,117325851
65,rectangle,168,252,117325852
66,rectangle,173,252,117325870
67,rectangle,177,252,117325889
68,rectangle,181,253,117325908
69,rectangle,186,253,117325928
70,rectangle,188,252,117325947
71,rectangle,193,253,117325967
72,rectangle,195,254,117325986
73,rectangle,197,254,117326006
74,rectangle,199,254,117326007
75,rectangle,201,255,117326027
76,rectangle,204,255,117326050
77,rectangle,206,255,117326071
78,rectangle,206,253,117326163
79,rectangle,204,248,117326184
80,rectangle,202,244,117326206
81,rectangle,200,236,117326228
82,rectangle,199,229,117326250
83,rectangle,198,223,117326272
84,rectangle,198,217,117326294
85,rectangle,198,215,117326295
86,rectangle,199,209,117326318
87,rectangle,198,199,117326342
88,rectangle,197,191,117326365
89,rectangle,195,184,117326389
90,rectangle,194,175,117326412
91,rectangle,194,171,117326436
92,rectangle,193,163,117326460
93,rectangle,193,158,117326485
94,rectangle,193,153,117326508
95,rectangle,192,149,117326532
96,rectangle,192,147,117326557
97,rectangle,192,142,117326583
98,rectangle,192,140,117326608
99,rectangle,192,137,117326633
100,rectangle,192,135,117326663
101,rectangle,191,133,117326711
102,rectangle,189,133,117326738
103,rectangle,184,135,117326764
104,rectangle,179,135,117326790
105,rectangle,172,136,117326817
106,rectangle,163,137,117326844
107,rectangle,156,137,117326871
108,rectangle,150,136,117326899
109,rectangle,143,137,117326926
110,rectangle,141,137,117326927
111,rectangle,131,137,117326958
112,rectangle,122,138,117326986
113,rectangle,111,140,117327014
114,rectangle,105,140,117327043
115,rectangle,97,140,117327071
116,rectangle,91,141,117327099
117,rectangle,84,140,117327128
118,rectangle,78,142,117327157
119,rectangle,71,142,117327186
120,rectangle,67,141,117327215
121,rectangle,62,143,117327244
122,rectangle,58,144,117327273
123,rectangle,56,143,117327303
124,rectangle,51,144,117327332
125,rectangle,49,145,117327363
126,rectangle,45,145,117327392
127,rectangle,43,144,117327447
128,rectangle,41,145,117327483
129,rectangle,40,142,117327523
