idx,label,x,y,timestamp
0,rectangle,51,113,125468455
1,rectangle,50,116,125468500
2,rectangle,51,119,125468512
3,rectangle,51,122,125468520
4,rectangle,51,125,125468527
5,rectangle,51,127,125468533
6,rectangle,50,133,125468539
7,rectangle,50,135,125468546
8,rectangle,49,137,125468552
9,rectangle,49,143,125468560
10,rectangle,49,146,125468566
11,rectangle,49,151,125468574
12,rectangle,49,156,125468581
13,rectangle,49,158,125468589
14,rectangle,49,164,125468596
15,rectangle,50,168,125468604
16,rectangle,51,172,125468613
17,rectangle,51,175,125468621
18,rectangle,52,179,125468630
19,rectangle,53,185,125468639
20,rectangle,53,187,125468640
21,rectangle,53,192,125468651
22,rectangle,53,195,125468652
23,rectangle,53,197,125468662
24,rectangle,53,201,125468663
25,rectangle,53,203,125468674
26,rectangle,53,206,125468675
27,rectangle,52,209,125468687
28,rectangle,53,213,125468698
29,rectangle,53,216,125468708
30,rectangle,55,218,125468720
31,rectangle,59,221,125468732
32,rectangle,62,221,125468743
33,rectangle,69,223,125468755
34,rectangle,75,223,125468768
35,rectangle,82,223,125468780
36,rectangle,90,222,125468793
37,rectangle,99,221,125468806
38,rectangle,102,221,125468807
39,rectangle,113,220,125468823
40,rectangle,116,219,125468824
41,rectangle,131,220,125468840
42,rectangle,141,219,125468854
43,rectangle,153,218,125468868
44,rectangle,164,218,125468883
45,rectangle,168,218,125468898
46,rectangle,175,218,125468912
47,rectangle,179,217,125468927
48,rectangle,182,216,125468947
49,rectangle,182,214,125468963
50,rectangle,182,209,125468979
51,rectangle,181,203,125468995
52,rectangle,180,199,125468996
53,rectangle,179,187,125469015
54,rectangle,179,177,125469033
55,rectangle,182,166,125469050
56,rectangle,182,163,125469052
57,rectangle,186,148,125469071
58,rectangle,188,138,125469090
59,rectangle,188,131,125469108
60,rectangle,187,128,125469125
61,rectangle,183,125,125469143
62,rectangle,174,126,125469161
63,rectangle,161,126,125469180
64,rectangle,146,128,125469199
65,rectangle,134,129,125469219
66,rectangle,131,128,125469220
67,rectangle,115,130,125469240
68,rectangle,99,131,125469260
69,rectangle,83,132,125469280
70,rectangle,69,133,125469301
71,rectangle,60,133,125469321
72,rectangle,55,133,125469341
