idx,label,x,y,timestamp
0,rectangle,82,165,11356572
1,rectangle,81,163,11356584
2,rectangle,80,166,11356661
3,rectangle,80,168,11356677
4,rectangle,80,171,11356693
5,rectangle,80,173,11356702
6,rectangle,80,175,11356714
7,rectangle,81,178,11356722
8,rectangle,81,180,11356730
9,rectangle,81,183,11356738
10,rectangle,82,185,11356750
11,rectangle,82,188,11356758
12,rectangle,82,190,11356765
13,rectangle,82,192,11356773
14,rectangle,83,195,11356782
15,rectangle,84,198,11356794
16,rectangle,84,200,11356802
17,rectangle,84,203,11356814
18,rectangle,85,206,11356827
19,rectangle,85,208,11356838
20,rectangle,85,211,11356850
21,rectangle,85,213,11356875
22,rectangle,85,215,11356896
23,rectangle,85,218,11356919
24,rectangle,86,220,11356980
25,rectangle,88,218,11357008
26,rectangle,91,219,11357032
27,rectangle,93,219,11357048
28,rectangle,95,218,11357061
29,rectangle,97,218,11357073
30,rectangle,100,217,11357085
31,rectangle,102,217,11357096
32,rectangle,104,217,11357108
33,rectangle,106,216,11357109
34,rectangle,108,216,11357124
35,rectangle,113,215,11357136
36,rectangle,115,215,11357149
37,rectangle,117,216,11357150
38,rectangle,121,216,11357166
39,rectangle,123,215,11357179
40,rectangle,127,215,11357192
41,rectangle,130,215,11357206
42,rectangle,135,213,11357220
43,rectangle,137,214,11357234
44,rectangle,142,214,11357248
45,rectangle,144,214,11357263
46,rectangle,148,214,11357277
47,rectangle,150,214,11357292
48,rectangle,153,214,11357293
49,rectangle,156,213,11357310
50,rectangle,160,212,11357326
51,rectangle,165,213,11357342
52,rectangle,167,213,11357357
53,rectangle,171,213,11357373
54,rectangle,174,213,11357391
55,rectangle,179,213,11357407
56,rectangle,181,213,11357424
57,rectangle,184,213,11357441
58,rectangle,186,212,11357442
59,rectangle,188,213,11357462
60,rectangle,192,213,11357480
61,rectangle,194,211,11357498
62,rectangle,196,212,11357517
63,rectangle,198,212,11357541
64,rectangle,200,211,11357597
65,rectangle,202,209,11357681
66,rectangle,203,206,11357752
67,rectangle,203,203,11357776
68,rectangle,203,201,11357801
69,rectangle,203,199,11357820
70,rectangle,203,197,11357841
71,rectangle,203,195,11357861
72,rectangle,202,192,11357862
73,rectangle,202,190,11357886
74,rectangle,201,186,11357907
75,rectangle,201,182,11357928
76,rectangle,200,175,11357950
77,rectangle,199,171,11357971
78,rectangle,198,166,11357992
79,rectangle,198,161,11358014
80,rectangle,198,159,11358035
81,rectangle,197,157,11358058
82,rectangle,197,154,11358082
83,rectangle,196,152,11358104
84,rectangle,195,150,11358230
85,rectangle,193,150,11358347
86,rectangle,191,151,11358387
87,rectangle,189,151,11358411
88,rectangle,187,150,11358434
89,rectangle,185,151,11358458
90,rectangle,180,151,11358481
91,rectangle,176,152,11358505
92,rectangle,171,152,11358530
93,rectangle,169,151,11358531
94,rectangle,163,152,11358559
95,rectangle,156,152,11358584
96,rectangle,150,154,11358610
97,rectangle,143,155,11358638
98,rectangle,133,157,11358664
99,rectangle,126,157,11358690
100,rectangle,120,158,11358717
101,rectangle,110,160,11358744
102,rectangle,103,161,11358771
103,rectangle,99,161,11358798
104,rectangle,92,162,11358826
105,rectangle,85,164,11358853
106,rectangle,80,165,11358881
107,rectangle,78,164,11358908
108,rectangle,78,166,11358936
