idx,label,x,y,timestamp
0,right_curly_brace,92,133,119257298
1,right_curly_brace,95,133,119257416
2,right_curly_brace,97,134,119257460
3,right_curly_brace,99,134,119257486
4,right_curly_brace,101,134,119257508
5,right_curly_brace,103,133,119257532
6,right_curly_brace,105,133,119257557
7,right_curly_brace,107,133,119257586
8,right_curly_brace,109,133,119257614
9,right_curly_brace,111,134,119257638
10,right_curly_brace,113,135,119257671
11,right_curly_brace,115,135,119257703
12,right_curly_brace,117,135,119257728
13,right_curly_brace,119,136,119257761
14,right_curly_brace,121,137,119257809
15,right_curly_brace,122,139,119257846
16,right_curly_brace,124,141,119257883
17,right_curly_brace,126,143,119257940
18,right_curly_brace,128,146,119257976
19,right_curly_brace,128,148,119257996
20,right_curly_brace,129,150,119258021
21,right_curly_brace,130,153,119258057
22,right_curly_brace,130,155,119258070
23,right_curly_brace,131,157,119258090
24,right_curly_brace,131,159,119258106
25,right_curly_brace,131,161,119258135
26,right_curly_brace,132,163,119258179
27,right_curly_brace,131,165,119258203
28,right_curly_brace,131,167,119258238
29,right_curly_brace,131,169,119258258
30,right_curly_brace,131,171,119258290
31,right_curly_brace,130,173,119258318
32,right_curly_brace,130,175,119258334
33,right_curly_brace,129,177,119258355
34,right_curly_brace,129,179,119258392
35,right_curly_brace,128,181,119258417
36,right_curly_brace,128,183,119258440
37,right_curly_brace,128,186,119258465
38,right_curly_brace,127,188,119258481
39,right_curly_brace,127,191,119258501
40,right_curly_brace,128,193,119258533
41,right_curly_brace,128,195,119258561
42,right_curly_brace,129,197,119258574
43,right_curly_brace,130,199,119258614
44,right_curly_brace,131,202,119258658
45,right_curly_brace,133,204,119258686
46,right_curly_brace,135,206,119258733
47,right_curly_brace,137,208,119258777
48,right_curly_brace,138,210,119258806
49,right_curly_brace,140,211,119258838
50,right_curly_brace,142,212,119258870
51,right_curly_brace,143,214,119258887
52,right_curly_brace,145,213,119258922
53,right_curly_brace,146,215,119258951
54,right_curly_brace,148,215,119258983
55,right_curly_brace,150,216,119259040
56,right_curly_brace,148,216,119259266
57,right_curly_brace,146,218,119259318
58,right_curly_brace,144,217,119259357
59,right_curly_brace,142,219,119259397
60,right_curly_brace,140,219,119259442
61,right_curly_brace,138,220,119259474
62,right_curly_brace,136,221,119259517
63,right_curly_brace,135,223,119259557
64,right_curly_brace,133,224,119259646
65,right_curly_brace,132,226,119259723
66,right_curly_brace,131,228,119259827
67,right_curly_brace,130,230,119259900
68,right_curly_brace,128,233,119259992
69,right_curly_brace,128,235,119260029
70,right_curly_brace,128,237,119260094
71,right_curly_brace,128,239,119260118
72,right_curly_brace,128,241,119260167
73,right_curly_brace,128,243,119260191
74,right_curly_brace,128,245,119260216
75,right_curly_brace,128,248,119260265
76,right_curly_brace,128,250,119260296
77,right_curly_brace,128,252,119260361
78,right_curly_brace,129,254,119260393
79,right_curly_brace,129,256,119260417
80,right_curly_brace,129,259,119260453
81,right_curly_brace,129,261,119260481
82,right_curly_brace,129,263,119260504
83,right_curly_brace,129,265,119260549
84,right_curly_brace,129,267,119260573
85,right_curly_brace,129,269,119260617
86,right_curly_brace,128,271,119260652
87,right_curly_brace,126,273,119260684
88,right_curly_brace,124,274,119260733
89,right_curly_brace,123,276,119260756
90,right_curly_brace,121,278,119260780
91,right_curly_brace,119,280,119260806
92,right_curly_brace,117,282,119260833
93,right_curly_brace,115,283,119260857
94,right_curly_brace,113,284,119260881
95,right_curly_brace,111,285,119260906
96,right_curly_brace,108,285,119260930
97,right_curly_brace,106,285,119260955
98,right_curly_brace,104,284,119260980
99,right_curly_brace,102,285,119261006
100,right_curly_brace,97,283,119261032
101,right_curly_brace,94,280,119261058
102,right_curly_brace,89,279,119261084
103,right_curly_brace,84,276,119261111
104,right_curly_brace,82,274,119261138
105,right_curly_brace,80,274,119261164
