idx,label,x,y,timestamp
0,right_curly_brace,102,139,1219767
1,right_curly_brace,105,138,1219803
2,right_curly_brace,107,138,1219812
3,right_curly_brace,111,138,1219820
4,right_curly_brace,113,137,1219826
5,right_curly_brace,118,137,1219833
6,right_curly_brace,122,137,1219841
7,right_curly_brace,127,137,1219849
8,right_curly_brace,132,138,1219857
9,right_curly_brace,136,140,1219865
10,right_curly_brace,139,141,1219873
11,right_curly_brace,142,143,1219881
12,right_curly_brace,144,145,1219888
13,right_curly_brace,145,148,1219901
14,right_curly_brace,146,151,1219912
15,right_curly_brace,145,154,1219921
16,right_curly_brace,144,156,1219930
17,right_curly_brace,141,159,1219939
18,right_curly_brace,140,161,1219941
19,right_curly_brace,136,163,1219951
20,right_curly_brace,129,168,1219961
21,right_curly_brace,125,171,1219970
22,right_curly_brace,121,172,1219979
23,right_curly_brace,118,174,1219989
24,right_curly_brace,115,175,1219999
25,right_curly_brace,113,176,1220009
26,right_curly_brace,111,178,1220019
27,right_curly_brace,112,180,1220031
28,right_curly_brace,115,182,1220043
29,right_curly_brace,118,185,1220054
30,right_curly_brace,123,188,1220065
31,right_curly_brace,130,189,1220077
32,right_curly_brace,137,190,1220089
33,right_curly_brace,141,191,1220101
34,right_curly_brace,147,190,1220113
35,right_curly_brace,150,188,1220125
36,right_curly_brace,152,187,1220137
37,right_curly_brace,151,184,1220151
38,right_curly_brace,149,183,1220164
39,right_curly_brace,142,183,1220177
40,right_curly_brace,134,184,1220191
41,right_curly_brace,131,185,1220192
42,right_curly_brace,122,191,1220208
43,right_curly_brace,117,196,1220222
44,right_curly_brace,112,200,1220237
45,right_curly_brace,111,202,1220252
46,right_curly_brace,110,204,1220266
47,right_curly_brace,113,208,1220281
48,right_curly_brace,119,211,1220296
49,right_curly_brace,123,212,1220311
50,right_curly_brace,126,214,1220312
51,right_curly_brace,132,219,1220329
52,right_curly_brace,136,226,1220345
53,right_curly_brace,138,234,1220362
54,right_curly_brace,135,241,1220378
55,right_curly_brace,128,247,1220394
56,right_curly_brace,126,249,1220395
57,right_curly_brace,112,255,1220415
58,right_curly_brace,103,257,1220433
59,right_curly_brace,98,258,1220450
