idx,label,x,y,timestamp
0,right_curly_brace,117,132,1199784
1,right_curly_brace,115,132,1199814
2,right_curly_brace,115,129,1199845
3,right_curly_brace,117,129,1199869
4,right_curly_brace,119,128,1199881
5,right_curly_brace,122,127,1199893
6,right_curly_brace,125,127,1199901
7,right_curly_brace,127,127,1199909
8,right_curly_brace,130,127,1199917
9,right_curly_brace,133,129,1199925
10,right_curly_brace,136,129,1199934
11,right_curly_brace,138,130,1199941
12,right_curly_brace,140,131,1199950
13,right_curly_brace,143,134,1199963
14,right_curly_brace,144,136,1199975
15,right_curly_brace,145,139,1199983
16,right_curly_brace,145,142,1199992
17,right_curly_brace,145,145,1200001
18,right_curly_brace,145,147,1200010
19,right_curly_brace,145,149,1200020
20,right_curly_brace,144,152,1200029
21,right_curly_brace,142,157,1200040
22,right_curly_brace,141,160,1200050
23,right_curly_brace,139,163,1200060
24,right_curly_brace,137,166,1200070
25,right_curly_brace,135,167,1200072
26,right_curly_brace,133,169,1200083
27,right_curly_brace,131,172,1200094
28,right_curly_brace,128,173,1200106
29,right_curly_brace,126,176,1200118
30,right_curly_brace,125,178,1200130
31,right_curly_brace,125,180,1200142
32,right_curly_brace,125,182,1200154
33,right_curly_brace,126,184,1200156
34,right_curly_brace,128,187,1200170
35,right_curly_brace,130,187,1200183
36,right_curly_brace,132,188,1200184
37,right_curly_brace,135,189,1200197
38,right_curly_brace,140,189,1200212
39,right_curly_brace,145,189,1200226
40,right_curly_brace,150,187,1200241
41,right_curly_brace,155,186,1200256
42,right_curly_brace,157,185,1200270
43,right_curly_brace,159,184,1200287
44,right_curly_brace,156,185,1200339
45,right_curly_brace,154,185,1200354
46,right_curly_brace,149,185,1200370
47,right_curly_brace,145,187,1200387
48,right_curly_brace,141,188,1200403
49,right_curly_brace,136,191,1200420
50,right_curly_brace,134,191,1200437
51,right_curly_brace,131,192,1200454
52,right_curly_brace,129,193,1200475
53,right_curly_brace,129,195,1200495
54,right_curly_brace,129,197,1200512
55,right_curly_brace,131,200,1200531
56,right_curly_brace,133,202,1200549
57,right_curly_brace,136,206,1200568
58,right_curly_brace,139,211,1200587
59,right_curly_brace,142,215,1200606
60,right_curly_brace,145,220,1200626
61,right_curly_brace,147,225,1200646
62,right_curly_brace,148,231,1200666
63,right_curly_brace,147,239,1200687
64,right_curly_brace,144,244,1200707
65,right_curly_brace,139,248,1200728
66,right_curly_brace,134,250,1200749
67,right_curly_brace,126,253,1200772
68,right_curly_brace,119,253,1200793
69,right_curly_brace,115,253,1200815
