idx,label,x,y,timestamp
0,right_curly_brace,99,135,116903964
1,right_curly_brace,100,133,116903992
2,right_curly_brace,103,132,116904026
3,right_curly_brace,105,131,116904049
4,right_curly_brace,107,132,116904074
5,right_curly_brace,109,131,116904106
6,right_curly_brace,110,133,116904127
7,right_curly_brace,112,134,116904160
8,right_curly_brace,112,137,116904181
9,right_curly_brace,113,139,116904209
10,right_curly_brace,113,141,116904237
11,right_curly_brace,112,143,116904252
12,right_curly_brace,112,145,116904276
13,right_curly_brace,112,147,116904296
14,right_curly_brace,112,150,116904308
15,right_curly_brace,112,152,116904341
16,right_curly_brace,111,154,116904362
17,right_curly_brace,111,156,116904374
18,right_curly_brace,111,158,116904386
19,right_curly_brace,110,160,116904402
20,right_curly_brace,110,162,116904426
21,right_curly_brace,109,165,116904442
22,right_curly_brace,109,167,116904454
23,right_curly_brace,108,169,116904470
24,right_curly_brace,108,172,116904491
25,right_curly_brace,108,174,116904514
26,right_curly_brace,108,177,116904534
27,right_curly_brace,109,179,116904554
28,right_curly_brace,110,181,116904574
29,right_curly_brace,112,184,116904594
30,right_curly_brace,113,186,116904610
31,right_curly_brace,115,187,116904631
32,right_curly_brace,117,188,116904651
33,right_curly_brace,119,189,116904672
34,right_curly_brace,122,189,116904692
35,right_curly_brace,124,189,116904716
36,right_curly_brace,123,191,116904857
37,right_curly_brace,121,193,116904898
38,right_curly_brace,119,195,116904930
39,right_curly_brace,117,197,116904954
40,right_curly_brace,115,199,116904978
41,right_curly_brace,114,201,116904991
42,right_curly_brace,113,203,116905006
43,right_curly_brace,112,205,116905026
44,right_curly_brace,111,207,116905043
45,right_curly_brace,110,209,116905063
46,right_curly_brace,109,211,116905091
47,right_curly_brace,109,214,116905105
48,right_curly_brace,109,216,116905123
49,right_curly_brace,108,219,116905143
50,right_curly_brace,108,222,116905164
51,right_curly_brace,108,224,116905180
52,right_curly_brace,107,226,116905196
53,right_curly_brace,107,228,116905211
54,right_curly_brace,106,230,116905227
55,right_curly_brace,105,232,116905243
56,right_curly_brace,103,235,116905264
57,right_curly_brace,100,237,116905281
58,right_curly_brace,98,238,116905297
59,right_curly_brace,96,240,116905314
60,right_curly_brace,91,240,116905331
61,right_curly_brace,89,240,116905348
62,right_curly_brace,85,240,116905365
63,right_curly_brace,83,239,116905384
64,right_curly_brace,78,236,116905402
65,right_curly_brace,76,236,116905419
66,right_curly_brace,75,234,116905437
67,right_curly_brace,73,232,116905456
68,right_curly_brace,72,227,116905475
69,right_curly_brace,72,225,116905496
