idx,label,x,y,timestamp
0,right_sq_bracket,123,153,268240990
1,right_sq_bracket,126,152,268241041
2,right_sq_bracket,128,150,268241049
3,right_sq_bracket,131,151,268241059
4,right_sq_bracket,134,149,268241066
5,right_sq_bracket,138,149,268241073
6,right_sq_bracket,141,148,268241081
7,right_sq_bracket,145,147,268241089
8,right_sq_bracket,147,147,268241095
9,right_sq_bracket,151,147,268241102
10,right_sq_bracket,154,147,268241109
11,right_sq_bracket,156,146,268241116
12,right_sq_bracket,160,145,268241124
13,right_sq_bracket,163,145,268241131
14,right_sq_bracket,166,145,268241139
15,right_sq_bracket,169,144,268241147
16,right_sq_bracket,171,144,268241158
17,right_sq_bracket,173,147,268241170
18,right_sq_bracket,175,150,268241182
19,right_sq_bracket,176,152,268241193
20,right_sq_bracket,176,156,268241202
21,right_sq_bracket,176,159,268241211
22,right_sq_bracket,175,162,268241221
23,right_sq_bracket,175,165,268241222
24,right_sq_bracket,175,169,268241232
25,right_sq_bracket,175,173,268241242
26,right_sq_bracket,174,178,268241252
27,right_sq_bracket,174,181,268241253
28,right_sq_bracket,174,185,268241264
29,right_sq_bracket,174,187,268241265
30,right_sq_bracket,173,192,268241277
31,right_sq_bracket,173,194,268241278
32,right_sq_bracket,173,198,268241289
33,right_sq_bracket,173,202,268241301
34,right_sq_bracket,173,205,268241302
35,right_sq_bracket,173,210,268241314
36,right_sq_bracket,173,213,268241326
37,right_sq_bracket,173,220,268241338
38,right_sq_bracket,173,222,268241351
39,right_sq_bracket,172,224,268241364
40,right_sq_bracket,172,226,268241377
41,right_sq_bracket,170,227,268241405
42,right_sq_bracket,168,225,268241420
43,right_sq_bracket,166,224,268241434
44,right_sq_bracket,163,223,268241447
45,right_sq_bracket,160,222,268241462
46,right_sq_bracket,156,220,268241476
47,right_sq_bracket,150,219,268241491
48,right_sq_bracket,144,220,268241506
49,right_sq_bracket,138,221,268241521
50,right_sq_bracket,132,222,268241537
51,right_sq_bracket,127,222,268241553
52,right_sq_bracket,125,222,268241570
53,right_sq_bracket,123,223,268241585
54,right_sq_bracket,124,221,268241621
55,right_sq_bracket,127,218,268241638
