idx,label,x,y,timestamp
0,right_sq_bracket,91,147,116510549
1,right_sq_bracket,93,147,116510674
2,right_sq_bracket,95,146,116510706
3,right_sq_bracket,97,145,116510731
4,right_sq_bracket,99,146,116510755
5,right_sq_bracket,101,146,116510775
6,right_sq_bracket,103,146,116510795
7,right_sq_bracket,105,146,116510819
8,right_sq_bracket,107,146,116510839
9,right_sq_bracket,109,146,116510863
10,right_sq_bracket,111,146,116510883
11,right_sq_bracket,113,146,116510903
12,right_sq_bracket,115,146,116510923
13,right_sq_bracket,117,146,116510939
14,right_sq_bracket,119,146,116510968
15,right_sq_bracket,121,146,116510996
16,right_sq_bracket,123,147,116511017
17,right_sq_bracket,125,147,116511038
18,right_sq_bracket,127,146,116511059
19,right_sq_bracket,129,147,116511078
20,right_sq_bracket,132,145,116511099
21,right_sq_bracket,134,146,116511119
22,right_sq_bracket,136,146,116511136
23,right_sq_bracket,138,145,116511155
24,right_sq_bracket,140,145,116511180
25,right_sq_bracket,142,145,116511205
26,right_sq_bracket,144,145,116511229
27,right_sq_bracket,146,145,116511262
28,right_sq_bracket,148,146,116511290
29,right_sq_bracket,150,147,116511322
30,right_sq_bracket,152,146,116511350
31,right_sq_bracket,154,146,116511386
32,right_sq_bracket,156,147,116511431
33,right_sq_bracket,157,149,116511508
34,right_sq_bracket,156,151,116511574
35,right_sq_bracket,155,153,116511610
36,right_sq_bracket,155,155,116511639
37,right_sq_bracket,154,157,116511671
38,right_sq_bracket,153,159,116511723
39,right_sq_bracket,151,161,116511784
40,right_sq_bracket,151,163,116511809
41,right_sq_bracket,150,165,116511833
42,right_sq_bracket,149,167,116511861
43,right_sq_bracket,149,169,116511890
44,right_sq_bracket,149,172,116511914
45,right_sq_bracket,149,174,116511934
46,right_sq_bracket,148,176,116511958
47,right_sq_bracket,148,178,116511982
48,right_sq_bracket,148,180,116512010
49,right_sq_bracket,147,183,116512035
50,right_sq_bracket,147,185,116512051
51,right_sq_bracket,146,187,116512075
52,right_sq_bracket,146,190,116512099
53,right_sq_bracket,145,193,116512135
54,right_sq_bracket,145,195,116512155
55,right_sq_bracket,145,197,116512176
56,right_sq_bracket,145,199,116512205
57,right_sq_bracket,145,201,116512222
58,right_sq_bracket,145,203,116512239
59,right_sq_bracket,145,205,116512257
60,right_sq_bracket,145,207,116512274
61,right_sq_bracket,145,209,116512293
62,right_sq_bracket,145,211,116512310
63,right_sq_bracket,145,214,116512328
64,right_sq_bracket,145,216,116512346
65,right_sq_bracket,145,218,116512365
66,right_sq_bracket,145,220,116512383
67,right_sq_bracket,145,222,116512410
68,right_sq_bracket,145,225,116512438
69,right_sq_bracket,145,227,116512474
70,right_sq_bracket,145,229,116512493
71,right_sq_bracket,145,231,116512522
72,right_sq_bracket,145,233,116512541
73,right_sq_bracket,144,235,116512586
74,right_sq_bracket,144,238,116512611
75,right_sq_bracket,143,240,116512635
76,right_sq_bracket,143,242,116512700
77,right_sq_bracket,141,242,116512778
78,right_sq_bracket,138,242,116512802
79,right_sq_bracket,136,243,116512822
80,right_sq_bracket,134,242,116512843
81,right_sq_bracket,132,243,116512864
82,right_sq_bracket,130,243,116512886
83,right_sq_bracket,128,243,116512908
84,right_sq_bracket,126,242,116512931
85,right_sq_bracket,124,242,116512954
86,right_sq_bracket,122,242,116512978
87,right_sq_bracket,119,242,116513002
88,right_sq_bracket,117,242,116513026
89,right_sq_bracket,115,241,116513050
90,right_sq_bracket,113,241,116513073
91,right_sq_bracket,111,241,116513097
92,right_sq_bracket,109,240,116513123
93,right_sq_bracket,107,240,116513147
94,right_sq_bracket,104,239,116513170
95,right_sq_bracket,102,239,116513194
96,right_sq_bracket,100,238,116513219
97,right_sq_bracket,98,238,116513243
98,right_sq_bracket,96,238,116513268
99,right_sq_bracket,94,239,116513292
100,right_sq_bracket,92,238,116513318
101,right_sq_bracket,90,238,116513343
102,right_sq_bracket,88,238,116513373
103,right_sq_bracket,86,237,116513405
104,right_sq_bracket,84,237,116513437
105,right_sq_bracket,82,236,116513465
106,right_sq_bracket,80,237,116513494
107,right_sq_bracket,78,237,116513530
108,right_sq_bracket,76,236,116513569
