idx,label,x,y,timestamp
0,right_sq_bracket,107,165,253423103
1,right_sq_bracket,109,165,253423115
2,right_sq_bracket,111,166,253423123
3,right_sq_bracket,114,167,253423132
4,right_sq_bracket,118,167,253423140
5,right_sq_bracket,121,167,253423148
6,right_sq_bracket,123,167,253423154
7,right_sq_bracket,127,168,253423161
8,right_sq_bracket,130,167,253423167
9,right_sq_bracket,134,167,253423174
10,right_sq_bracket,139,166,253423181
11,right_sq_bracket,142,165,253423187
12,right_sq_bracket,144,164,253423189
13,right_sq_bracket,148,164,253423196
14,right_sq_bracket,151,162,253423205
15,right_sq_bracket,154,160,253423213
16,right_sq_bracket,156,159,253423221
17,right_sq_bracket,158,156,253423230
18,right_sq_bracket,160,154,253423245
19,right_sq_bracket,159,158,253423300
20,right_sq_bracket,158,160,253423309
21,right_sq_bracket,157,166,253423319
22,right_sq_bracket,156,170,253423329
23,right_sq_bracket,156,174,253423338
24,right_sq_bracket,154,183,253423349
25,right_sq_bracket,154,186,253423359
26,right_sq_bracket,152,193,253423369
27,right_sq_bracket,152,195,253423380
28,right_sq_bracket,151,197,253423391
29,right_sq_bracket,151,199,253423401
30,right_sq_bracket,150,201,253423428
31,right_sq_bracket,147,202,253423448
32,right_sq_bracket,145,204,253423459
33,right_sq_bracket,140,205,253423471
34,right_sq_bracket,137,205,253423472
35,right_sq_bracket,130,209,253423485
36,right_sq_bracket,122,211,253423499
37,right_sq_bracket,113,214,253423513
38,right_sq_bracket,110,215,253423525
39,right_sq_bracket,107,216,253423539
40,right_sq_bracket,105,217,253423553
