idx,label,x,y,timestamp
0,right_sq_bracket,121,127,799027
1,right_sq_bracket,123,127,799059
2,right_sq_bracket,126,126,799072
3,right_sq_bracket,129,126,799079
4,right_sq_bracket,131,126,799088
5,right_sq_bracket,134,126,799096
6,right_sq_bracket,137,125,799104
7,right_sq_bracket,139,125,799112
8,right_sq_bracket,141,125,799120
9,right_sq_bracket,144,125,799128
10,right_sq_bracket,146,124,799136
11,right_sq_bracket,148,124,799145
12,right_sq_bracket,150,124,799154
13,right_sq_bracket,152,125,799163
14,right_sq_bracket,155,124,799174
15,right_sq_bracket,157,125,799186
16,right_sq_bracket,159,127,799202
17,right_sq_bracket,160,129,799218
18,right_sq_bracket,160,134,799227
19,right_sq_bracket,160,136,799236
20,right_sq_bracket,160,141,799247
21,right_sq_bracket,160,148,799258
22,right_sq_bracket,160,153,799269
23,right_sq_bracket,160,155,799270
24,right_sq_bracket,161,160,799281
25,right_sq_bracket,161,163,799283
26,right_sq_bracket,161,171,799295
27,right_sq_bracket,161,180,799309
28,right_sq_bracket,161,191,799323
29,right_sq_bracket,162,200,799337
30,right_sq_bracket,163,211,799351
31,right_sq_bracket,163,218,799365
32,right_sq_bracket,163,221,799367
33,right_sq_bracket,163,227,799380
34,right_sq_bracket,162,232,799395
35,right_sq_bracket,161,238,799410
36,right_sq_bracket,159,240,799422
37,right_sq_bracket,157,241,799442
38,right_sq_bracket,155,239,799454
39,right_sq_bracket,152,238,799468
40,right_sq_bracket,147,237,799483
41,right_sq_bracket,141,236,799501
42,right_sq_bracket,135,235,799517
43,right_sq_bracket,130,235,799534
44,right_sq_bracket,124,236,799552
45,right_sq_bracket,120,237,799569
46,right_sq_bracket,117,238,799571
47,right_sq_bracket,115,238,799587
48,right_sq_bracket,110,238,799603
