idx,label,x,y,timestamp
0,right_sq_bracket,93,122,201817135
1,right_sq_bracket,96,123,201817312
2,right_sq_bracket,98,124,201817324
3,right_sq_bracket,100,125,201817332
4,right_sq_bracket,103,125,201817339
5,right_sq_bracket,106,124,201817348
6,right_sq_bracket,109,124,201817356
7,right_sq_bracket,112,124,201817364
8,right_sq_bracket,116,124,201817372
9,right_sq_bracket,119,124,201817380
10,right_sq_bracket,123,124,201817388
11,right_sq_bracket,126,125,201817396
12,right_sq_bracket,129,125,201817405
13,right_sq_bracket,132,125,201817413
14,right_sq_bracket,135,126,201817421
15,right_sq_bracket,138,125,201817430
16,right_sq_bracket,141,125,201817438
17,right_sq_bracket,144,125,201817446
18,right_sq_bracket,146,125,201817454
19,right_sq_bracket,148,126,201817463
20,right_sq_bracket,150,126,201817472
21,right_sq_bracket,153,127,201817482
22,right_sq_bracket,155,128,201817494
23,right_sq_bracket,158,128,201817506
24,right_sq_bracket,160,129,201817518
25,right_sq_bracket,162,128,201817531
26,right_sq_bracket,163,130,201817579
27,right_sq_bracket,162,132,201817607
28,right_sq_bracket,161,134,201817632
29,right_sq_bracket,160,137,201817660
30,right_sq_bracket,159,140,201817672
31,right_sq_bracket,159,142,201817687
32,right_sq_bracket,159,146,201817698
33,right_sq_bracket,159,149,201817710
34,right_sq_bracket,158,154,201817722
35,right_sq_bracket,157,164,201817734
36,right_sq_bracket,156,171,201817747
37,right_sq_bracket,156,173,201817748
38,right_sq_bracket,156,181,201817761
39,right_sq_bracket,155,184,201817774
40,right_sq_bracket,155,189,201817775
41,right_sq_bracket,154,196,201817789
42,right_sq_bracket,154,204,201817803
43,right_sq_bracket,154,210,201817818
44,right_sq_bracket,153,215,201817832
45,right_sq_bracket,152,222,201817846
46,right_sq_bracket,151,225,201817860
47,right_sq_bracket,151,227,201817874
48,right_sq_bracket,150,230,201817889
49,right_sq_bracket,150,232,201817903
50,right_sq_bracket,149,236,201817918
51,right_sq_bracket,148,240,201817934
52,right_sq_bracket,147,243,201817949
53,right_sq_bracket,145,245,201818192
54,right_sq_bracket,143,245,201818209
55,right_sq_bracket,126,244,201818256
56,right_sq_bracket,123,245,201818257
57,right_sq_bracket,85,247,201818308
58,right_sq_bracket,77,249,201818356
59,right_sq_bracket,85,245,201818403
