idx,label,x,y,timestamp
0,star,82,255,120888430
1,star,80,257,120888449
2,star,80,254,120888465
3,star,82,252,120888474
4,star,83,249,120888481
5,star,84,247,120888487
6,star,87,239,120888493
7,star,89,236,120888500
8,star,93,229,120888506
9,star,95,225,120888513
10,star,97,220,120888514
11,star,99,215,120888521
12,star,101,210,120888522
13,star,106,200,120888530
14,star,110,190,120888538
15,star,115,180,120888546
16,star,119,170,120888554
17,star,122,162,120888563
18,star,125,155,120888572
19,star,127,151,120888581
20,star,128,149,120888582
21,star,130,146,120888591
22,star,131,143,120888600
23,star,131,148,120888642
24,star,131,154,120888652
25,star,130,165,120888663
26,star,129,175,120888673
27,star,129,180,120888675
28,star,129,189,120888685
29,star,129,194,120888687
30,star,130,204,120888698
31,star,131,208,120888699
32,star,134,221,120888711
33,star,137,230,120888723
34,star,140,237,120888735
35,star,143,243,120888748
36,star,144,246,120888760
37,star,146,249,120888773
38,star,149,254,120888786
39,star,150,257,120888799
40,star,150,259,120888812
41,star,148,257,120888847
42,star,146,256,120888861
43,star,138,251,120888875
44,star,131,246,120888890
45,star,121,240,120888905
46,star,110,235,120888920
47,star,98,227,120888935
48,star,87,222,120888951
49,star,77,216,120888967
50,star,74,215,120888983
51,star,71,214,120888984
52,star,69,212,120889000
53,star,72,211,120889064
54,star,80,212,120889081
55,star,92,211,120889098
56,star,107,209,120889115
57,star,111,207,120889116
58,star,126,203,120889135
59,star,142,195,120889153
60,star,152,190,120889171
61,star,157,189,120889189
62,star,160,188,120889207
63,star,157,191,120889228
64,star,152,195,120889247
65,star,142,202,120889266
66,star,128,211,120889286
67,star,114,220,120889306
68,star,101,232,120889326
69,star,94,240,120889346
70,star,87,248,120889367
71,star,83,252,120889387
72,star,81,254,120889407
73,star,80,252,120889427
74,star,80,248,120889432
75,star,80,245,120889453
