idx,label,x,y,timestamp
0,star,75,242,125051624
1,star,77,241,125051665
2,star,78,239,125051677
3,star,81,237,125051698
4,star,83,234,125051710
5,star,85,233,125051723
6,star,86,231,125051730
7,star,87,229,125051738
8,star,89,227,125051746
9,star,91,224,125051754
10,star,93,222,125051766
11,star,95,219,125051774
12,star,96,216,125051782
13,star,98,214,125051791
14,star,99,211,125051799
15,star,100,209,125051806
16,star,102,206,125051815
17,star,103,204,125051823
18,star,106,199,125051832
19,star,107,196,125051841
20,star,109,193,125051850
21,star,110,191,125051851
22,star,112,187,125051862
23,star,113,184,125051872
24,star,114,180,125051882
25,star,114,178,125051883
26,star,116,172,125051895
27,star,116,168,125051906
28,star,117,164,125051917
29,star,118,157,125051927
30,star,119,154,125051939
31,star,120,149,125051950
32,star,121,146,125051962
33,star,121,144,125051974
34,star,122,141,125051975
35,star,122,138,125051988
36,star,122,136,125052001
37,star,122,131,125052014
38,star,122,129,125052030
39,star,122,127,125052050
40,star,124,128,125052103
41,star,125,130,125052117
42,star,127,133,125052133
43,star,128,136,125052148
44,star,129,138,125052162
45,star,131,143,125052176
46,star,132,148,125052191
47,star,134,152,125052206
48,star,136,158,125052221
49,star,137,163,125052236
50,star,139,169,125052252
51,star,141,174,125052268
52,star,143,179,125052284
53,star,145,187,125052300
54,star,147,191,125052316
55,star,148,198,125052333
56,star,151,206,125052350
57,star,153,215,125052368
58,star,156,223,125052385
59,star,158,229,125052403
60,star,160,235,125052421
61,star,162,240,125052438
62,star,163,243,125052440
63,star,164,248,125052460
64,star,165,250,125052478
65,star,166,252,125052480
66,star,167,254,125052500
67,star,168,256,125052519
68,star,168,258,125052559
69,star,166,257,125052579
70,star,165,255,125052599
71,star,163,253,125052600
72,star,159,249,125052622
73,star,154,242,125052643
74,star,147,237,125052664
75,star,140,228,125052685
76,star,134,223,125052707
77,star,131,220,125052708
78,star,124,212,125052732
79,star,115,205,125052754
80,star,105,197,125052776
81,star,99,193,125052799
82,star,96,189,125052800
83,star,87,185,125052825
84,star,79,180,125052848
85,star,74,179,125052871
86,star,72,178,125052872
87,star,68,178,125052899
88,star,66,178,125052900
89,star,64,176,125052925
90,star,64,178,125052971
91,star,66,178,125052996
92,star,68,179,125053020
93,star,75,181,125053046
94,star,84,180,125053072
95,star,95,180,125053098
96,star,113,179,125053129
97,star,131,177,125053160
98,star,149,175,125053192
99,star,164,173,125053223
100,star,174,172,125053250
101,star,177,172,125053251
102,star,183,173,125053283
103,star,188,175,125053310
104,star,190,176,125053337
105,star,191,180,125053364
106,star,190,182,125053391
107,star,186,187,125053419
108,star,184,189,125053420
109,star,177,195,125053450
110,star,175,197,125053451
111,star,168,202,125053482
112,star,165,203,125053483
113,star,158,208,125053515
114,star,156,209,125053516
115,star,145,215,125053548
116,star,137,219,125053580
117,star,125,225,125053611
118,star,115,228,125053641
119,star,105,233,125053672
120,star,100,235,125053709
121,star,98,236,125053739
122,star,96,236,125053769
