idx,label,x,y,timestamp
0,star,68,254,119112899
1,star,69,252,119112916
2,star,70,249,119112928
3,star,71,247,119112934
4,star,73,242,119112941
5,star,76,239,119112948
6,star,78,235,119112956
7,star,79,232,119112963
8,star,81,229,119112965
9,star,84,222,119112973
10,star,87,215,119112981
11,star,90,207,119112989
12,star,93,200,119112997
13,star,95,193,119113006
14,star,97,188,119113015
15,star,98,185,119113017
16,star,99,181,119113026
17,star,99,179,119113035
18,star,100,176,119113037
19,star,101,173,119113048
20,star,101,171,119113058
21,star,102,168,119113068
22,star,102,166,119113079
23,star,103,163,119113088
24,star,104,161,119113105
25,star,106,163,119113142
26,star,107,165,119113153
27,star,107,167,119113164
28,star,107,173,119113176
29,star,106,179,119113188
30,star,105,189,119113201
31,star,105,198,119113213
32,star,104,209,119113226
33,star,104,212,119113227
34,star,104,222,119113241
35,star,105,233,119113254
36,star,106,240,119113268
37,star,106,247,119113282
38,star,106,252,119113295
39,star,106,254,119113309
40,star,105,257,119113323
41,star,103,258,119113338
42,star,97,255,119113352
43,star,91,250,119113367
44,star,83,243,119113383
45,star,73,234,119113399
46,star,66,226,119113415
47,star,60,220,119113430
48,star,58,218,119113449
49,star,57,216,119113469
50,star,59,214,119113485
51,star,62,213,119113502
52,star,72,213,119113518
53,star,85,210,119113536
54,star,105,205,119113554
55,star,121,199,119113572
56,star,137,192,119113590
57,star,144,190,119113608
58,star,149,189,119113626
59,star,148,191,119113644
60,star,145,193,119113646
61,star,134,203,119113665
62,star,122,213,119113685
63,star,118,215,119113686
64,star,102,230,119113708
65,star,90,242,119113729
66,star,86,247,119113748
