idx,label,x,y,timestamp
0,star,67,225,619102
1,star,67,222,619176
2,star,68,220,619197
3,star,69,218,619210
4,star,69,216,619217
5,star,70,214,619225
6,star,71,211,619237
7,star,71,209,619244
8,star,72,207,619250
9,star,73,204,619257
10,star,75,201,619265
11,star,76,199,619273
12,star,77,196,619280
13,star,79,192,619288
14,star,80,189,619289
15,star,82,185,619300
16,star,84,183,619309
17,star,86,179,619317
18,star,88,175,619326
19,star,90,171,619335
20,star,92,168,619344
21,star,94,165,619348
22,star,97,160,619360
23,star,99,157,619371
24,star,102,151,619382
25,star,105,146,619392
26,star,107,144,619393
27,star,109,141,619407
28,star,113,136,619418
29,star,115,133,619430
30,star,118,130,619441
31,star,120,127,619442
32,star,123,124,619456
33,star,125,122,619468
34,star,128,119,619480
35,star,130,117,619492
36,star,132,117,619546
37,star,133,120,619566
38,star,135,121,619602
39,star,135,124,619615
40,star,136,126,619630
41,star,137,129,619644
42,star,139,134,619658
43,star,141,141,619673
44,star,144,149,619688
45,star,148,156,619703
46,star,150,163,619718
47,star,153,171,619734
48,star,157,179,619750
49,star,158,181,619751
50,star,162,193,619772
51,star,164,199,619788
52,star,168,206,619804
53,star,171,212,619820
54,star,174,219,619839
55,star,176,225,619855
56,star,178,230,619872
57,star,179,235,619889
58,star,179,237,619906
59,star,177,239,620032
60,star,175,237,620073
61,star,173,235,620091
62,star,170,233,620109
63,star,166,229,620128
64,star,162,225,620147
65,star,154,219,620166
66,star,147,214,620187
67,star,137,207,620207
68,star,127,201,620226
69,star,119,195,620247
70,star,110,190,620267
71,star,104,186,620288
72,star,95,182,620308
73,star,89,177,620329
74,star,87,176,620330
75,star,81,171,620354
76,star,76,169,620376
77,star,73,168,620377
78,star,66,164,620402
79,star,61,162,620424
80,star,59,161,620446
81,star,57,159,620468
82,star,55,157,620492
83,star,54,155,620536
84,star,52,153,620572
85,star,54,153,620632
86,star,56,153,620656
87,star,60,153,620679
88,star,66,153,620703
89,star,72,152,620727
90,star,80,152,620752
91,star,89,150,620777
92,star,98,150,620802
93,star,107,150,620827
94,star,118,150,620853
95,star,127,150,620878
96,star,135,151,620904
97,star,143,151,620929
98,star,153,151,620956
99,star,159,152,620983
100,star,166,153,621009
101,star,173,153,621035
102,star,178,154,621063
103,star,182,153,621090
104,star,184,152,621117
105,star,185,154,621230
106,star,182,156,621266
107,star,180,158,621293
108,star,178,159,621294
109,star,172,162,621327
110,star,162,167,621359
111,star,151,174,621388
112,star,142,177,621418
113,star,140,179,621419
114,star,128,186,621452
115,star,117,192,621483
116,star,109,198,621513
117,star,99,203,621543
118,star,91,208,621575
119,star,84,214,621605
120,star,80,218,621636
121,star,77,220,621667
122,star,73,223,621699
123,star,71,224,621730
