idx,label,x,y,timestamp
0,star,64,256,119090198
1,star,66,255,119090234
2,star,67,253,119090251
3,star,69,250,119090263
4,star,70,248,119090271
5,star,72,246,119090283
6,star,74,244,119090292
7,star,75,241,119090300
8,star,77,239,119090312
9,star,79,237,119090320
10,star,80,233,119090332
11,star,82,231,119090344
12,star,83,229,119090352
13,star,84,226,119090360
14,star,85,223,119090369
15,star,87,221,119090380
16,star,89,219,119090393
17,star,90,217,119090402
18,star,91,214,119090413
19,star,92,211,119090422
20,star,94,210,119090434
21,star,95,208,119090443
22,star,98,205,119090454
23,star,99,202,119090464
24,star,100,199,119090473
25,star,102,197,119090483
26,star,104,195,119090495
27,star,106,193,119090506
28,star,107,190,119090518
29,star,109,187,119090530
30,star,110,185,119090542
31,star,112,183,119090557
32,star,113,181,119090568
33,star,114,178,119090580
34,star,115,176,119090592
35,star,117,172,119090604
36,star,118,170,119090617
37,star,120,167,119090629
38,star,121,165,119090642
39,star,123,160,119090655
40,star,125,159,119090671
41,star,126,157,119090685
42,star,128,154,119090699
43,star,129,152,119090717
44,star,131,150,119090750
45,star,131,152,119090811
46,star,131,154,119090826
47,star,129,159,119090841
48,star,127,166,119090856
49,star,124,172,119090871
50,star,122,180,119090887
51,star,120,189,119090904
52,star,119,196,119090920
53,star,119,201,119090938
54,star,118,206,119090956
55,star,118,215,119090976
56,star,118,221,119090993
57,star,118,227,119091010
58,star,117,232,119091027
59,star,117,235,119091028
60,star,117,239,119091045
61,star,117,243,119091063
62,star,116,250,119091082
63,star,116,257,119091100
64,star,117,259,119091118
65,star,117,264,119091137
66,star,118,266,119091155
67,star,116,265,119091259
68,star,115,263,119091278
69,star,113,261,119091297
70,star,109,256,119091317
71,star,107,254,119091336
72,star,104,250,119091356
73,star,100,246,119091377
74,star,97,242,119091397
75,star,94,238,119091418
76,star,92,235,119091439
77,star,90,233,119091440
78,star,89,231,119091461
79,star,87,226,119091483
80,star,84,221,119091505
81,star,82,219,119091527
82,star,79,215,119091550
83,star,75,211,119091572
84,star,72,207,119091595
85,star,70,205,119091618
86,star,69,203,119091640
87,star,65,200,119091664
88,star,64,197,119091703
89,star,63,195,119091731
90,star,66,195,119091791
91,star,68,196,119091815
92,star,74,197,119091839
93,star,81,197,119091864
94,star,88,197,119091889
95,star,95,197,119091915
96,star,102,195,119091940
97,star,108,196,119091966
98,star,117,196,119091992
99,star,124,196,119092019
100,star,132,196,119092045
101,star,138,196,119092072
102,star,143,195,119092098
103,star,147,195,119092125
104,star,151,195,119092152
105,star,156,194,119092179
106,star,158,195,119092207
107,star,160,193,119092234
108,star,162,194,119092261
109,star,163,196,119092372
110,star,161,199,119092400
111,star,157,202,119092428
112,star,153,205,119092457
113,star,149,207,119092485
114,star,144,210,119092515
115,star,135,215,119092544
116,star,128,220,119092574
117,star,123,223,119092603
118,star,118,226,119092633
119,star,111,230,119092663
120,star,105,236,119092697
121,star,101,238,119092727
122,star,96,242,119092758
123,star,92,246,119092795
124,star,90,247,119092826
125,star,88,249,119092857
126,star,86,251,119092858
127,star,84,252,119092892
