idx,label,x,y,timestamp
0,star,62,233,267806256
1,star,64,232,267806273
2,star,66,230,267806284
3,star,68,228,267806292
4,star,70,225,267806301
5,star,72,223,267806307
6,star,73,221,267806312
7,star,74,219,267806313
8,star,75,215,267806320
9,star,78,210,267806327
10,star,81,206,267806333
11,star,82,202,267806340
12,star,85,195,267806348
13,star,88,187,267806356
14,star,92,180,267806364
15,star,94,177,267806365
16,star,97,169,267806374
17,star,100,162,267806383
18,star,103,156,267806392
19,star,105,154,267806393
20,star,108,149,267806403
21,star,111,146,267806412
22,star,113,143,267806422
23,star,115,142,267806433
24,star,117,141,267806443
25,star,120,141,267806454
26,star,121,145,267806464
27,star,122,147,267806465
28,star,123,153,267806477
29,star,124,156,267806478
30,star,127,169,267806490
31,star,130,182,267806502
32,star,133,195,267806514
33,star,135,209,267806526
34,star,138,219,267806539
35,star,139,227,267806552
36,star,140,237,267806566
37,star,141,242,267806579
38,star,140,244,267806592
39,star,140,246,267806605
40,star,138,244,267806618
41,star,137,242,267806632
42,star,130,230,267806646
43,star,122,216,267806661
44,star,115,206,267806676
45,star,103,192,267806691
46,star,93,180,267806707
47,star,86,175,267806723
48,star,79,170,267806739
49,star,74,168,267806755
50,star,71,168,267806770
51,star,73,167,267806814
52,star,77,167,267806830
53,star,80,167,267806831
54,star,91,169,267806847
55,star,104,170,267806864
56,star,119,169,267806882
57,star,123,168,267806883
58,star,142,168,267806904
59,star,154,168,267806921
60,star,157,168,267806922
61,star,164,167,267806943
62,star,162,170,267806981
63,star,152,176,267807003
64,star,133,187,267807026
65,star,112,200,267807049
66,star,96,210,267807073
67,star,94,211,267807074
68,star,85,216,267807093
69,star,79,219,267807113
