idx,label,x,y,timestamp
0,star,75,244,116292398
1,star,76,242,116292473
2,star,76,240,116292490
3,star,77,238,116292510
4,star,78,236,116292522
5,star,79,234,116292539
6,star,79,231,116292555
7,star,80,229,116292567
8,star,81,226,116292583
9,star,81,224,116292595
10,star,82,221,116292611
11,star,83,219,116292623
12,star,84,217,116292640
13,star,84,215,116292652
14,star,85,212,116292669
15,star,86,209,116292681
16,star,86,207,116292697
17,star,87,205,116292714
18,star,87,203,116292726
19,star,88,201,116292739
20,star,88,199,116292752
21,star,88,197,116292766
22,star,89,194,116292783
23,star,89,192,116292799
24,star,89,190,116292815
25,star,90,188,116292832
26,star,92,186,116292848
27,star,92,184,116292864
28,star,93,182,116292880
29,star,94,180,116292891
30,star,94,177,116292902
31,star,96,175,116292920
32,star,96,173,116292931
33,star,97,171,116292944
34,star,97,169,116292961
35,star,98,166,116292977
36,star,98,164,116292994
37,star,99,162,116293015
38,star,99,160,116293027
39,star,100,158,116293047
40,star,101,155,116293072
41,star,101,153,116293085
42,star,102,151,116293098
43,star,103,149,116293116
44,star,103,146,116293136
45,star,104,144,116293156
46,star,105,142,116293176
47,star,106,140,116293200
48,star,107,138,116293216
49,star,107,136,116293236
50,star,108,134,116293264
51,star,108,131,116293284
52,star,109,129,116293312
53,star,110,127,116293357
54,star,112,127,116293485
55,star,113,130,116293505
56,star,113,132,116293521
57,star,114,135,116293554
58,star,114,137,116293578
59,star,115,139,116293606
60,star,116,142,116293626
61,star,117,144,116293646
62,star,118,146,116293663
63,star,118,148,116293680
64,star,119,150,116293703
65,star,120,153,116293733
66,star,120,155,116293751
67,star,121,158,116293769
68,star,122,161,116293792
69,star,123,163,116293811
70,star,124,166,116293829
71,star,125,168,116293849
72,star,125,171,116293868
73,star,126,174,116293887
74,star,127,176,116293909
75,star,128,181,116293930
76,star,128,183,116293950
77,star,129,185,116293970
78,star,130,187,116293991
79,star,131,192,116294017
80,star,131,197,116294041
81,star,132,199,116294066
82,star,132,202,116294091
83,star,133,204,116294113
84,star,133,206,116294135
85,star,133,208,116294157
86,star,134,212,116294179
87,star,134,214,116294202
88,star,135,216,116294225
89,star,135,218,116294248
90,star,135,220,116294271
91,star,136,222,116294295
92,star,136,224,116294319
93,star,137,226,116294342
94,star,137,229,116294381
95,star,138,231,116294406
96,star,139,233,116294445
97,star,139,236,116294490
98,star,139,238,116294518
99,star,140,240,116294558
100,star,140,242,116294611
101,star,138,240,116294807
102,star,136,240,116294843
103,star,134,238,116294879
104,star,132,236,116294908
105,star,131,234,116294934
106,star,129,232,116294961
107,star,127,231,116294988
108,star,125,229,116295015
109,star,123,227,116295042
110,star,121,226,116295070
111,star,119,224,116295097
112,star,115,221,116295127
113,star,112,219,116295155
114,star,108,215,116295184
115,star,106,214,116295212
116,star,104,212,116295241
117,star,102,210,116295270
118,star,98,207,116295299
119,star,96,206,116295329
120,star,92,203,116295359
121,star,90,202,116295389
122,star,86,199,116295422
123,star,84,197,116295453
124,star,80,194,116295483
125,star,78,193,116295514
126,star,73,190,116295545
127,star,70,187,116295576
128,star,66,184,116295607
129,star,64,182,116295640
130,star,62,181,116295672
131,star,60,179,116295703
132,star,59,177,116295735
133,star,57,176,116295768
134,star,55,175,116295800
135,star,53,173,116295833
136,star,51,171,116295866
137,star,49,170,116295920
138,star,51,168,116296039
139,star,53,168,116296072
140,star,58,168,116296106
141,star,62,168,116296140
142,star,64,168,116296174
143,star,66,167,116296175
144,star,70,168,116296209
145,star,75,167,116296244
146,star,79,167,116296279
147,star,84,167,116296315
148,star,88,167,116296351
149,star,93,167,116296386
150,star,97,166,116296422
151,star,102,167,116296461
152,star,106,168,116296498
153,star,110,168,116296534
154,star,114,168,116296572
155,star,119,167,116296609
156,star,123,167,116296648
157,star,127,168,116296686
158,star,132,168,116296724
159,star,136,167,116296763
160,star,140,168,116296801
161,star,144,168,116296839
162,star,147,168,116296878
163,star,151,168,116296917
164,star,155,168,116296956
165,star,159,169,116296994
166,star,161,168,116297033
167,star,163,168,116297073
168,star,167,168,116297112
169,star,169,168,116297152
170,star,171,167,116297192
171,star,175,168,116297233
172,star,177,169,116297273
173,star,179,168,116297327
174,star,177,170,116297436
175,star,173,174,116297477
176,star,169,176,116297518
177,star,162,182,116297560
178,star,156,187,116297602
179,star,152,190,116297645
180,star,146,193,116297687
181,star,141,196,116297729
182,star,135,200,116297772
183,star,130,203,116297815
184,star,124,207,116297858
185,star,119,211,116297902
186,star,113,214,116297951
187,star,109,217,116297995
188,star,105,221,116298038
189,star,102,223,116298083
190,star,98,227,116298127
191,star,95,228,116298173
192,star,91,231,116298218
193,star,87,234,116298264
194,star,85,236,116298308
195,star,81,238,116298354
196,star,77,241,116298399
197,star,77,243,116298400
198,star,75,243,116298447
199,star,73,245,116298493
200,star,71,246,116298538
201,star,69,248,116298589
202,star,67,250,116298664
