idx,label,x,y,timestamp
0,star,78,236,120854026
1,star,79,234,120854097
2,star,80,232,120854109
3,star,81,229,120854126
4,star,82,226,120854134
5,star,84,223,120854147
6,star,86,219,120854155
7,star,88,215,120854163
8,star,90,212,120854171
9,star,92,208,120854180
10,star,93,205,120854188
11,star,96,201,120854197
12,star,97,199,120854205
13,star,99,196,120854213
14,star,101,192,120854222
15,star,103,187,120854231
16,star,104,185,120854232
17,star,104,182,120854242
18,star,106,178,120854251
19,star,107,174,120854252
20,star,108,171,120854262
21,star,109,168,120854271
22,star,109,165,120854272
23,star,110,162,120854282
24,star,111,160,120854292
25,star,112,157,120854304
26,star,113,155,120854314
27,star,113,153,120854325
28,star,114,150,120854336
29,star,115,148,120854347
30,star,116,146,120854358
31,star,117,141,120854369
32,star,118,139,120854381
33,star,118,137,120854393
34,star,119,134,120854405
35,star,120,132,120854419
36,star,121,129,120854433
37,star,121,127,120854461
38,star,121,129,120854610
39,star,121,132,120854626
40,star,122,135,120854647
41,star,122,137,120854661
42,star,122,140,120854674
43,star,123,145,120854688
44,star,124,151,120854703
45,star,125,156,120854717
46,star,127,162,120854732
47,star,129,167,120854748
48,star,130,173,120854763
49,star,131,175,120854764
50,star,133,182,120854780
51,star,135,188,120854796
52,star,137,194,120854813
53,star,139,199,120854829
54,star,139,201,120854846
55,star,142,206,120854862
56,star,142,208,120854863
57,star,143,210,120854880
58,star,145,213,120854897
59,star,147,218,120854915
60,star,149,223,120854932
61,star,149,225,120854950
62,star,150,228,120854968
63,star,151,232,120854986
64,star,149,231,120855131
65,star,146,230,120855149
66,star,142,226,120855168
67,star,137,223,120855188
68,star,129,218,120855207
69,star,124,215,120855227
70,star,116,209,120855247
71,star,111,205,120855267
72,star,104,201,120855288
73,star,100,199,120855308
74,star,96,197,120855329
75,star,91,194,120855350
76,star,85,190,120855371
77,star,83,189,120855392
78,star,80,188,120855413
79,star,78,189,120855435
80,star,77,187,120855436
81,star,75,186,120855459
82,star,72,186,120855483
83,star,70,185,120855511
84,star,68,183,120855577
85,star,68,181,120855644
86,star,70,181,120855688
87,star,73,181,120855711
88,star,81,180,120855735
89,star,90,179,120855759
90,star,94,178,120855760
91,star,104,177,120855785
92,star,114,176,120855810
93,star,123,175,120855835
94,star,133,172,120855860
95,star,136,172,120855861
96,star,144,171,120855887
97,star,149,171,120855913
98,star,151,169,120855938
99,star,153,170,120855964
100,star,155,169,120855989
101,star,157,169,120856025
102,star,155,172,120856084
103,star,153,173,120856111
104,star,145,177,120856138
105,star,139,182,120856165
106,star,132,187,120856194
107,star,122,195,120856222
108,star,115,201,120856250
109,star,106,208,120856279
110,star,99,214,120856307
111,star,97,216,120856308
112,star,92,219,120856337
113,star,89,223,120856366
114,star,83,228,120856396
115,star,81,228,120856425
116,star,79,231,120856455
