idx,label,x,y,timestamp
0,triangle,99,139,117591270
1,triangle,98,141,117591384
2,triangle,97,143,117591404
3,triangle,96,145,117591416
4,triangle,95,148,117591444
5,triangle,94,150,117591460
6,triangle,94,153,117591476
7,triangle,93,155,117591493
8,triangle,93,157,117591501
9,triangle,93,159,117591513
10,triangle,92,162,117591525
11,triangle,91,164,117591533
12,triangle,90,166,117591545
13,triangle,90,168,117591558
14,triangle,88,170,117591578
15,triangle,87,173,117591591
16,triangle,87,175,117591603
17,triangle,86,177,117591611
18,triangle,85,179,117591623
19,triangle,84,181,117591632
20,triangle,84,184,117591641
21,triangle,83,186,117591651
22,triangle,83,188,117591660
23,triangle,82,191,117591675
24,triangle,81,193,117591687
25,triangle,81,195,117591699
26,triangle,80,197,117591709
27,triangle,80,200,117591720
28,triangle,79,202,117591731
29,triangle,79,204,117591743
30,triangle,78,207,117591755
31,triangle,78,209,117591767
32,triangle,77,212,117591779
33,triangle,77,214,117591790
34,triangle,76,216,117591802
35,triangle,75,218,117591815
36,triangle,74,221,117591832
37,triangle,73,223,117591852
38,triangle,73,226,117591868
39,triangle,72,229,117591889
40,triangle,71,231,117591909
41,triangle,71,233,117591933
42,triangle,70,235,117591953
43,triangle,70,237,117591966
44,triangle,69,240,117591985
45,triangle,68,242,117592001
46,triangle,67,244,117592022
47,triangle,66,246,117592054
48,triangle,65,249,117592086
49,triangle,67,249,117592204
50,triangle,69,250,117592221
51,triangle,72,248,117592236
52,triangle,74,248,117592251
53,triangle,76,248,117592267
54,triangle,78,249,117592283
55,triangle,81,248,117592299
56,triangle,83,248,117592315
57,triangle,85,248,117592332
58,triangle,87,248,117592351
59,triangle,91,247,117592368
60,triangle,93,247,117592385
61,triangle,98,246,117592402
62,triangle,100,247,117592420
63,triangle,104,246,117592437
64,triangle,106,245,117592455
65,triangle,109,246,117592473
66,triangle,114,244,117592491
67,triangle,118,246,117592510
68,triangle,121,244,117592529
69,triangle,125,245,117592548
70,triangle,127,245,117592567
71,triangle,130,245,117592586
72,triangle,134,245,117592605
73,triangle,139,245,117592625
74,triangle,141,246,117592645
75,triangle,146,245,117592666
76,triangle,150,247,117592686
77,triangle,152,246,117592706
78,triangle,156,247,117592727
79,triangle,159,247,117592748
80,triangle,161,247,117592749
81,triangle,163,247,117592770
82,triangle,165,248,117592792
83,triangle,167,248,117592793
84,triangle,169,249,117592818
85,triangle,169,247,117592945
86,triangle,167,245,117592970
87,triangle,165,243,117592993
88,triangle,163,240,117593016
89,triangle,160,236,117593039
90,triangle,157,231,117593062
91,triangle,155,227,117593086
92,triangle,152,222,117593109
93,triangle,151,220,117593132
94,triangle,150,217,117593134
95,triangle,148,213,117593158
96,triangle,146,210,117593182
97,triangle,143,204,117593207
98,triangle,142,202,117593231
99,triangle,140,197,117593256
100,triangle,138,195,117593257
101,triangle,136,191,117593283
102,triangle,135,188,117593308
103,triangle,133,186,117593310
104,triangle,131,180,117593336
105,triangle,128,175,117593362
106,triangle,126,170,117593388
107,triangle,125,167,117593414
108,triangle,122,163,117593441
109,triangle,119,158,117593471
110,triangle,118,156,117593498
111,triangle,115,151,117593526
112,triangle,113,149,117593554
113,triangle,112,147,117593582
114,triangle,111,145,117593610
115,triangle,110,143,117593638
116,triangle,109,140,117593669
