idx,label,x,y,timestamp
0,triangle,145,139,268293750
1,triangle,143,141,268293770
2,triangle,142,143,268293783
3,triangle,140,145,268293796
4,triangle,139,149,268293804
5,triangle,138,151,268293812
6,triangle,136,155,268293820
7,triangle,134,158,268293828
8,triangle,132,162,268293836
9,triangle,131,164,268293843
10,triangle,130,166,268293844
11,triangle,129,168,268293852
12,triangle,127,170,268293853
13,triangle,125,176,268293861
14,triangle,122,181,268293870
15,triangle,120,186,268293878
16,triangle,118,189,268293886
17,triangle,115,194,268293895
18,triangle,114,197,268293896
19,triangle,112,201,268293906
20,triangle,110,204,268293915
21,triangle,108,209,268293925
22,triangle,105,214,268293935
23,triangle,104,217,268293945
24,triangle,103,219,268293955
25,triangle,102,222,268293968
26,triangle,105,222,268294000
27,triangle,108,221,268294012
28,triangle,111,220,268294023
29,triangle,114,219,268294034
30,triangle,123,216,268294047
31,triangle,125,216,268294048
32,triangle,132,214,268294062
33,triangle,143,211,268294076
34,triangle,150,209,268294091
35,triangle,156,209,268294105
36,triangle,163,209,268294121
37,triangle,165,207,268294135
38,triangle,168,206,268294148
39,triangle,170,205,268294163
40,triangle,172,203,268294196
41,triangle,171,200,268294212
42,triangle,171,198,268294226
43,triangle,169,193,268294241
44,triangle,166,185,268294256
45,triangle,165,183,268294257
46,triangle,161,173,268294272
47,triangle,159,169,268294287
48,triangle,158,165,268294288
49,triangle,156,162,268294304
50,triangle,155,158,268294305
51,triangle,155,156,268294321
52,triangle,154,153,268294336
53,triangle,152,151,268294368
