idx,label,x,y,timestamp
0,triangle,150,120,125140816
1,triangle,148,120,125140832
2,triangle,146,122,125140844
3,triangle,144,124,125140852
4,triangle,142,127,125140865
5,triangle,139,130,125140872
6,triangle,138,132,125140878
7,triangle,136,135,125140884
8,triangle,133,138,125140892
9,triangle,130,141,125140900
10,triangle,129,143,125140907
11,triangle,125,148,125140914
12,triangle,122,152,125140921
13,triangle,120,154,125140929
14,triangle,115,160,125140937
15,triangle,112,165,125140945
16,triangle,109,168,125140953
17,triangle,108,170,125140961
18,triangle,105,174,125140970
19,triangle,103,178,125140979
20,triangle,99,182,125140988
21,triangle,97,186,125140997
22,triangle,94,189,125141007
23,triangle,90,196,125141017
24,triangle,87,199,125141027
25,triangle,85,202,125141037
26,triangle,83,205,125141047
27,triangle,82,207,125141057
28,triangle,78,212,125141068
29,triangle,78,214,125141104
30,triangle,80,215,125141116
31,triangle,83,215,125141127
32,triangle,86,214,125141139
33,triangle,94,214,125141151
34,triangle,96,213,125141152
35,triangle,104,214,125141165
36,triangle,113,214,125141178
37,triangle,122,214,125141191
38,triangle,136,217,125141204
39,triangle,146,219,125141218
40,triangle,156,221,125141231
41,triangle,160,222,125141232
42,triangle,169,223,125141247
43,triangle,180,224,125141261
44,triangle,187,225,125141276
45,triangle,190,226,125141277
46,triangle,194,225,125141291
47,triangle,197,225,125141293
48,triangle,199,225,125141308
49,triangle,201,224,125141309
50,triangle,201,222,125141360
51,triangle,197,218,125141377
52,triangle,193,212,125141393
53,triangle,189,206,125141409
54,triangle,182,196,125141426
55,triangle,177,188,125141443
56,triangle,172,179,125141460
57,triangle,170,177,125141461
58,triangle,167,170,125141479
59,triangle,162,159,125141497
60,triangle,161,154,125141514
61,triangle,160,152,125141532
62,triangle,159,149,125141533
63,triangle,159,147,125141551
64,triangle,159,145,125141570
65,triangle,158,142,125141588
