idx,label,x,y,timestamp
0,triangle,138,142,10390138
1,triangle,136,146,10390158
2,triangle,135,148,10390166
3,triangle,133,150,10390179
4,triangle,132,153,10390187
5,triangle,131,156,10390193
6,triangle,129,159,10390199
7,triangle,128,162,10390207
8,triangle,127,164,10390214
9,triangle,125,169,10390221
10,triangle,124,174,10390229
11,triangle,122,180,10390237
12,triangle,121,186,10390245
13,triangle,119,193,10390254
14,triangle,118,200,10390262
15,triangle,117,203,10390263
16,triangle,116,209,10390272
17,triangle,115,215,10390282
18,triangle,113,222,10390292
19,triangle,112,225,10390301
20,triangle,109,233,10390312
21,triangle,108,235,10390322
22,triangle,106,242,10390333
23,triangle,105,246,10390344
24,triangle,105,248,10390354
25,triangle,104,252,10390356
26,triangle,104,254,10390367
27,triangle,103,256,10390378
28,triangle,104,259,10390408
29,triangle,106,259,10390444
30,triangle,107,257,10390456
31,triangle,110,256,10390469
32,triangle,112,254,10390481
33,triangle,116,252,10390494
34,triangle,118,252,10390506
35,triangle,123,251,10390521
36,triangle,128,250,10390534
37,triangle,131,250,10390547
38,triangle,136,249,10390562
39,triangle,142,248,10390577
40,triangle,148,248,10390591
41,triangle,153,247,10390606
42,triangle,155,248,10390621
43,triangle,157,248,10390622
44,triangle,160,247,10390637
45,triangle,164,248,10390653
46,triangle,167,248,10390668
47,triangle,169,248,10390686
48,triangle,171,249,10390687
49,triangle,173,250,10390707
50,triangle,175,249,10390739
51,triangle,177,250,10390787
52,triangle,177,247,10390912
53,triangle,176,245,10390930
54,triangle,173,238,10390949
55,triangle,169,226,10390968
56,triangle,164,215,10390988
57,triangle,163,212,10390989
58,triangle,159,204,10391007
59,triangle,155,196,10391026
60,triangle,149,183,10391045
61,triangle,146,174,10391065
62,triangle,144,167,10391084
63,triangle,142,161,10391104
64,triangle,141,159,10391105
65,triangle,140,153,10391125
66,triangle,138,149,10391146
67,triangle,137,144,10391169
68,triangle,135,142,10391190
69,triangle,134,140,10391211
70,triangle,132,138,10391235
