idx,label,x,y,timestamp
0,triangle,135,135,123230278
1,triangle,136,133,123230294
2,triangle,135,135,123230343
3,triangle,134,137,123230352
4,triangle,131,140,123230368
5,triangle,130,143,123230375
6,triangle,128,146,123230383
7,triangle,126,148,123230391
8,triangle,123,151,123230399
9,triangle,121,154,123230407
10,triangle,118,156,123230415
11,triangle,117,158,123230422
12,triangle,113,163,123230430
13,triangle,110,167,123230438
14,triangle,107,170,123230446
15,triangle,105,172,123230454
16,triangle,100,178,123230462
17,triangle,98,180,123230464
18,triangle,95,184,123230474
19,triangle,89,190,123230484
20,triangle,85,193,123230493
21,triangle,82,197,123230502
22,triangle,78,200,123230512
23,triangle,75,203,123230522
24,triangle,68,210,123230532
25,triangle,64,213,123230543
26,triangle,63,215,123230544
27,triangle,58,219,123230556
28,triangle,55,222,123230567
29,triangle,52,226,123230578
30,triangle,49,229,123230579
31,triangle,46,231,123230593
32,triangle,41,236,123230604
33,triangle,39,239,123230617
34,triangle,34,244,123230629
35,triangle,31,247,123230641
36,triangle,29,249,123230654
37,triangle,25,254,123230666
38,triangle,22,256,123230680
39,triangle,20,258,123230693
40,triangle,19,260,123230707
41,triangle,21,262,123230759
42,triangle,23,261,123230775
43,triangle,25,261,123230789
44,triangle,30,260,123230804
45,triangle,32,259,123230818
46,triangle,35,258,123230819
47,triangle,41,257,123230836
48,triangle,46,256,123230851
49,triangle,53,256,123230867
50,triangle,55,255,123230868
51,triangle,63,255,123230886
52,triangle,72,254,123230902
53,triangle,75,253,123230904
54,triangle,84,251,123230922
55,triangle,86,251,123230923
56,triangle,95,249,123230943
57,triangle,98,249,123230944
58,triangle,108,248,123230964
59,triangle,118,245,123230982
60,triangle,129,244,123231000
61,triangle,137,242,123231018
62,triangle,139,242,123231019
63,triangle,149,242,123231040
64,triangle,159,242,123231059
65,triangle,167,242,123231079
66,triangle,174,242,123231098
67,triangle,183,243,123231118
68,triangle,188,244,123231138
69,triangle,193,243,123231158
70,triangle,198,242,123231178
71,triangle,200,241,123231198
72,triangle,202,241,123231219
73,triangle,202,239,123231244
74,triangle,200,235,123231265
75,triangle,198,231,123231287
76,triangle,191,223,123231312
77,triangle,185,217,123231337
78,triangle,178,210,123231364
79,triangle,171,203,123231387
80,triangle,163,192,123231410
81,triangle,159,186,123231433
82,triangle,155,177,123231460
83,triangle,152,171,123231483
84,triangle,149,166,123231506
85,triangle,148,162,123231529
86,triangle,145,154,123231554
87,triangle,143,152,123231577
88,triangle,141,147,123231601
89,triangle,137,143,123231624
90,triangle,135,140,123231648
91,triangle,133,139,123231675
92,triangle,133,137,123231700
