idx,label,x,y,timestamp
0,triangle,105,140,117597299
1,triangle,104,142,117597360
2,triangle,103,144,117597384
3,triangle,102,146,117597400
4,triangle,101,148,117597416
5,triangle,100,151,117597432
6,triangle,99,153,117597444
7,triangle,98,155,117597456
8,triangle,98,157,117597464
9,triangle,97,159,117597476
10,triangle,96,161,117597484
11,triangle,96,164,117597492
12,triangle,95,166,117597504
13,triangle,94,169,117597513
14,triangle,93,171,117597528
15,triangle,92,173,117597537
16,triangle,92,177,117597545
17,triangle,90,179,117597556
18,triangle,90,181,117597565
19,triangle,89,183,117597573
20,triangle,88,186,117597582
21,triangle,87,188,117597591
22,triangle,86,190,117597601
23,triangle,85,193,117597610
24,triangle,84,195,117597620
25,triangle,83,198,117597632
26,triangle,82,201,117597644
27,triangle,81,203,117597660
28,triangle,81,206,117597671
29,triangle,80,208,117597685
30,triangle,80,211,117597697
31,triangle,79,214,117597713
32,triangle,78,216,117597729
33,triangle,78,218,117597742
34,triangle,77,221,117597753
35,triangle,77,223,117597765
36,triangle,76,225,117597777
37,triangle,75,228,117597790
38,triangle,75,230,117597805
39,triangle,74,232,117597818
40,triangle,74,235,117597832
41,triangle,73,237,117597845
42,triangle,72,239,117597864
43,triangle,71,241,117597880
44,triangle,70,243,117597900
45,triangle,70,245,117597914
46,triangle,69,247,117597936
47,triangle,68,249,117597950
48,triangle,67,251,117597977
49,triangle,66,253,117598001
50,triangle,68,254,117598061
51,triangle,70,255,117598077
52,triangle,72,254,117598093
53,triangle,75,254,117598108
54,triangle,80,253,117598124
55,triangle,84,253,117598141
56,triangle,88,252,117598158
57,triangle,93,251,117598176
58,triangle,97,251,117598196
59,triangle,102,251,117598216
60,triangle,105,250,117598233
61,triangle,110,250,117598251
62,triangle,113,250,117598268
63,triangle,115,250,117598269
64,triangle,119,249,117598288
65,triangle,123,249,117598306
66,triangle,126,248,117598325
67,triangle,129,247,117598326
68,triangle,131,248,117598344
69,triangle,135,246,117598364
70,triangle,137,247,117598383
71,triangle,140,247,117598403
72,triangle,144,247,117598422
73,triangle,147,248,117598442
74,triangle,149,248,117598462
75,triangle,153,249,117598483
76,triangle,155,249,117598504
77,triangle,158,249,117598525
78,triangle,160,248,117598526
79,triangle,163,249,117598547
80,triangle,165,250,117598568
81,triangle,169,249,117598592
82,triangle,172,250,117598614
83,triangle,172,248,117598704
84,triangle,169,246,117598728
85,triangle,167,243,117598751
86,triangle,165,241,117598773
87,triangle,164,239,117598796
88,triangle,162,237,117598797
89,triangle,160,232,117598820
90,triangle,158,227,117598844
91,triangle,155,223,117598868
92,triangle,152,218,117598891
93,triangle,148,213,117598916
94,triangle,147,211,117598917
95,triangle,145,206,117598944
96,triangle,142,202,117598969
97,triangle,139,197,117598994
98,triangle,135,192,117599019
99,triangle,133,187,117599047
100,triangle,131,182,117599072
101,triangle,130,178,117599098
102,triangle,127,174,117599124
103,triangle,125,170,117599155
104,triangle,123,165,117599181
105,triangle,121,160,117599208
106,triangle,120,158,117599233
107,triangle,120,155,117599262
108,triangle,118,150,117599289
109,triangle,116,149,117599316
110,triangle,114,147,117599345
