idx,label,x,y,timestamp
0,triangle,133,142,201797062
1,triangle,135,144,201797086
2,triangle,135,147,201797094
3,triangle,135,149,201797099
4,triangle,133,152,201797106
5,triangle,132,154,201797112
6,triangle,130,157,201797117
7,triangle,128,160,201797119
8,triangle,125,163,201797125
9,triangle,120,169,201797132
10,triangle,114,176,201797139
11,triangle,111,179,201797146
12,triangle,107,183,201797147
13,triangle,100,191,201797154
14,triangle,96,195,201797162
15,triangle,93,199,201797163
16,triangle,87,206,201797171
17,triangle,82,213,201797179
18,triangle,79,219,201797188
19,triangle,77,223,201797197
20,triangle,76,226,201797198
21,triangle,75,228,201797208
22,triangle,75,230,201797217
23,triangle,77,230,201797227
24,triangle,80,229,201797237
25,triangle,86,229,201797248
26,triangle,94,227,201797259
27,triangle,102,226,201797269
28,triangle,106,225,201797271
29,triangle,115,223,201797281
30,triangle,120,224,201797282
31,triangle,129,225,201797294
32,triangle,134,225,201797295
33,triangle,147,226,201797307
34,triangle,157,228,201797318
35,triangle,162,229,201797331
36,triangle,168,232,201797343
37,triangle,169,234,201797358
38,triangle,170,231,201797387
39,triangle,169,228,201797399
40,triangle,167,220,201797413
41,triangle,163,211,201797426
42,triangle,161,207,201797427
43,triangle,157,194,201797441
44,triangle,151,176,201797455
45,triangle,146,165,201797470
46,triangle,139,151,201797484
47,triangle,136,147,201797499
48,triangle,134,144,201797500
49,triangle,131,143,201797515
50,triangle,129,142,201797530
