idx,label,x,y,timestamp
0,triangle,129,127,125111957
1,triangle,127,128,125111985
2,triangle,125,131,125111998
3,triangle,122,133,125112013
4,triangle,121,136,125112022
5,triangle,118,138,125112034
6,triangle,116,140,125112042
7,triangle,114,143,125112050
8,triangle,112,146,125112058
9,triangle,110,149,125112066
10,triangle,107,152,125112074
11,triangle,106,154,125112081
12,triangle,103,158,125112089
13,triangle,101,161,125112096
14,triangle,98,165,125112104
15,triangle,95,168,125112112
16,triangle,92,172,125112120
17,triangle,89,176,125112128
18,triangle,86,180,125112137
19,triangle,83,183,125112146
20,triangle,81,185,125112147
21,triangle,78,188,125112156
22,triangle,75,191,125112165
23,triangle,72,194,125112175
24,triangle,69,196,125112185
25,triangle,64,200,125112195
26,triangle,62,202,125112205
27,triangle,59,205,125112216
28,triangle,55,209,125112227
29,triangle,53,211,125112238
30,triangle,51,213,125112249
31,triangle,49,215,125112260
32,triangle,48,217,125112272
33,triangle,45,220,125112284
34,triangle,43,221,125112296
35,triangle,41,223,125112308
36,triangle,39,225,125112322
37,triangle,37,227,125112346
38,triangle,39,229,125112451
39,triangle,41,229,125112467
40,triangle,44,228,125112480
41,triangle,46,228,125112494
42,triangle,50,228,125112508
43,triangle,55,229,125112522
44,triangle,60,228,125112537
45,triangle,65,229,125112551
46,triangle,68,229,125112566
47,triangle,75,229,125112581
48,triangle,81,230,125112596
49,triangle,88,229,125112611
50,triangle,95,230,125112627
51,triangle,102,231,125112643
52,triangle,111,230,125112659
53,triangle,118,229,125112676
54,triangle,125,229,125112692
55,triangle,133,229,125112710
56,triangle,140,229,125112727
57,triangle,147,231,125112745
58,triangle,153,231,125112763
59,triangle,156,232,125112764
60,triangle,162,233,125112783
61,triangle,168,234,125112801
62,triangle,176,235,125112820
63,triangle,182,235,125112839
64,triangle,186,237,125112858
65,triangle,193,237,125112877
66,triangle,196,237,125112896
67,triangle,200,236,125112918
68,triangle,201,234,125113004
69,triangle,199,232,125113024
70,triangle,197,229,125113043
71,triangle,194,225,125113063
72,triangle,192,222,125113084
73,triangle,191,220,125113085
74,triangle,188,215,125113105
75,triangle,185,211,125113126
76,triangle,181,202,125113147
77,triangle,176,194,125113169
78,triangle,173,189,125113190
79,triangle,169,183,125113212
80,triangle,168,181,125113213
81,triangle,164,176,125113235
82,triangle,160,170,125113257
83,triangle,158,165,125113280
84,triangle,155,160,125113302
85,triangle,152,157,125113325
86,triangle,149,153,125113348
87,triangle,147,151,125113371
88,triangle,146,149,125113395
89,triangle,144,146,125113418
90,triangle,143,144,125113442
91,triangle,141,142,125113544
