idx,label,x,y,timestamp
0,triangle,136,141,10401212
1,triangle,136,144,10401241
2,triangle,135,147,10401249
3,triangle,134,150,10401257
4,triangle,133,153,10401265
5,triangle,132,155,10401271
6,triangle,132,157,10401277
7,triangle,131,159,10401278
8,triangle,130,162,10401284
9,triangle,129,164,10401285
10,triangle,128,166,10401292
11,triangle,127,169,10401294
12,triangle,126,175,10401301
13,triangle,124,181,10401310
14,triangle,122,189,10401318
15,triangle,120,196,10401327
16,triangle,118,205,10401337
17,triangle,117,208,10401338
18,triangle,115,216,10401347
19,triangle,113,223,10401356
20,triangle,112,226,10401357
21,triangle,111,232,10401367
22,triangle,109,237,10401377
23,triangle,108,240,10401387
24,triangle,107,243,10401397
25,triangle,106,246,10401407
26,triangle,105,248,10401433
27,triangle,107,248,10401465
28,triangle,110,246,10401477
29,triangle,113,245,10401488
30,triangle,116,244,10401500
31,triangle,126,240,10401513
32,triangle,133,239,10401525
33,triangle,141,238,10401538
34,triangle,149,237,10401550
35,triangle,156,237,10401563
36,triangle,164,238,10401578
37,triangle,170,238,10401591
38,triangle,173,239,10401604
39,triangle,178,240,10401619
40,triangle,182,242,10401635
41,triangle,184,243,10401648
42,triangle,186,243,10401662
43,triangle,187,240,10401731
44,triangle,186,238,10401746
45,triangle,185,233,10401763
46,triangle,183,229,10401764
47,triangle,179,222,10401779
48,triangle,176,215,10401797
49,triangle,167,201,10401816
50,triangle,161,189,10401834
51,triangle,159,186,10401835
52,triangle,156,177,10401852
53,triangle,152,167,10401869
54,triangle,148,156,10401889
55,triangle,147,154,10401906
56,triangle,143,150,10401926
57,triangle,141,148,10401943
58,triangle,139,147,10401960
59,triangle,137,145,10401977
