idx,label,x,y,timestamp
0,v,75,149,118658668
1,v,77,150,118658708
2,v,80,151,118658731
3,v,82,152,118658752
4,v,84,153,118658769
5,v,86,155,118658789
6,v,88,156,118658809
7,v,90,159,118658830
8,v,92,160,118658846
9,v,94,162,118658870
10,v,96,165,118658891
11,v,98,166,118658910
12,v,99,169,118658926
13,v,101,171,118658942
14,v,103,173,118658963
15,v,103,175,118658976
16,v,105,177,118658996
17,v,106,180,118659013
18,v,108,182,118659028
19,v,109,184,118659040
20,v,111,187,118659060
21,v,111,190,118659069
22,v,113,192,118659092
23,v,114,194,118659109
24,v,115,197,118659121
25,v,116,199,118659150
26,v,117,201,118659169
27,v,118,204,118659181
28,v,119,206,118659201
29,v,119,208,118659213
30,v,120,210,118659229
31,v,121,212,118659254
32,v,122,215,118659270
33,v,122,217,118659291
34,v,123,220,118659303
35,v,123,222,118659321
36,v,123,224,118659333
37,v,124,226,118659361
38,v,125,228,118659384
39,v,125,230,118659397
40,v,126,232,118659410
41,v,126,234,118659423
42,v,127,237,118659437
43,v,127,239,118659452
44,v,127,241,118659480
45,v,127,243,118659494
46,v,127,246,118659509
47,v,128,248,118659529
48,v,128,250,118659557
49,v,128,247,118659654
50,v,128,245,118659674
51,v,128,243,118659691
52,v,129,241,118659706
53,v,129,239,118659722
54,v,131,235,118659743
55,v,131,233,118659759
56,v,132,230,118659776
57,v,133,225,118659793
58,v,134,223,118659810
59,v,136,218,118659827
60,v,137,214,118659845
61,v,139,211,118659864
62,v,140,209,118659882
63,v,142,204,118659900
64,v,143,202,118659918
65,v,144,200,118659937
66,v,145,198,118659955
67,v,148,193,118659975
68,v,150,190,118659993
69,v,153,186,118660013
70,v,155,183,118660032
71,v,156,181,118660051
72,v,157,179,118660072
73,v,158,177,118660073
74,v,160,175,118660093
75,v,161,173,118660113
76,v,162,171,118660134
77,v,166,167,118660155
78,v,167,165,118660179
79,v,169,162,118660201
80,v,172,157,118660223
81,v,174,157,118660244
82,v,176,155,118660266
83,v,178,153,118660289
84,v,179,151,118660311
85,v,181,150,118660333
86,v,183,149,118660357
87,v,186,147,118660381
88,v,188,146,118660405
