idx,label,x,y,timestamp
0,v,62,150,117864136
1,v,63,152,117864173
2,v,65,153,117864210
3,v,65,155,117864226
4,v,66,157,117864250
5,v,68,159,117864278
6,v,68,161,117864286
7,v,69,164,117864302
8,v,70,166,117864322
9,v,71,168,117864339
10,v,72,170,117864351
11,v,73,172,117864364
12,v,75,174,117864384
13,v,77,176,117864405
14,v,78,179,117864417
15,v,80,180,117864438
16,v,81,183,117864451
17,v,83,185,117864476
18,v,84,187,117864492
19,v,86,189,117864508
20,v,87,191,117864524
21,v,88,194,117864536
22,v,90,196,117864560
23,v,92,198,117864584
24,v,93,200,117864596
25,v,94,202,117864620
26,v,96,204,117864641
27,v,96,206,117864653
28,v,98,208,117864673
29,v,100,210,117864704
30,v,100,212,117864716
31,v,101,214,117864741
32,v,102,216,117864757
33,v,103,219,117864786
34,v,105,221,117864810
35,v,105,223,117864823
36,v,107,225,117864858
37,v,108,227,117864890
38,v,109,230,117864910
39,v,110,232,117864938
40,v,111,234,117864979
41,v,112,236,117864992
42,v,112,238,117865005
43,v,113,241,117865049
44,v,114,243,117865072
45,v,116,246,117865128
46,v,116,243,117865253
47,v,117,241,117865269
48,v,117,239,117865301
49,v,117,237,117865316
50,v,117,234,117865330
51,v,117,232,117865348
52,v,118,230,117865368
53,v,118,227,117865384
54,v,119,224,117865401
55,v,119,222,117865417
56,v,120,220,117865433
57,v,120,218,117865450
58,v,121,216,117865467
59,v,123,211,117865484
60,v,123,209,117865501
61,v,124,207,117865519
62,v,126,203,117865537
63,v,127,200,117865554
64,v,129,198,117865572
65,v,130,195,117865590
66,v,131,191,117865609
67,v,133,188,117865627
68,v,134,186,117865646
69,v,135,184,117865665
70,v,138,178,117865684
71,v,141,174,117865707
72,v,142,172,117865726
73,v,144,170,117865746
74,v,145,168,117865765
75,v,147,165,117865785
76,v,150,161,117865805
77,v,152,158,117865826
78,v,153,156,117865846
79,v,154,154,117865867
80,v,156,152,117865888
81,v,158,150,117865910
82,v,159,148,117865931
83,v,161,145,117865952
84,v,163,144,117865988
85,v,164,142,117866016
