idx,label,x,y,timestamp
0,v,48,167,201609362
1,v,47,165,201609397
2,v,49,168,201609479
3,v,50,170,201609495
4,v,52,172,201609507
5,v,53,174,201609515
6,v,55,177,201609527
7,v,57,179,201609539
8,v,58,181,201609547
9,v,59,184,201609555
10,v,61,186,201609563
11,v,62,189,201609575
12,v,63,193,201609583
13,v,64,196,201609592
14,v,65,199,201609599
15,v,66,202,201609607
16,v,67,204,201609615
17,v,68,206,201609624
18,v,69,209,201609632
19,v,70,211,201609641
20,v,71,213,201609650
21,v,72,215,201609660
22,v,73,217,201609671
23,v,74,221,201609684
24,v,74,223,201609696
25,v,74,225,201609708
26,v,75,227,201609732
27,v,75,230,201609772
28,v,77,228,201609881
29,v,79,224,201609893
30,v,80,222,201609904
31,v,82,217,201609915
32,v,84,213,201609927
33,v,88,206,201609939
34,v,93,198,201609951
35,v,97,190,201609963
36,v,101,185,201609976
37,v,107,178,201609989
38,v,113,172,201610002
39,v,116,169,201610014
40,v,120,165,201610028
41,v,125,161,201610042
42,v,128,159,201610056
43,v,130,158,201610057
44,v,132,157,201610072
45,v,134,156,201610086
46,v,135,154,201610128
