idx,label,x,y,timestamp
0,v,63,178,252788617
1,v,66,180,252788658
2,v,67,183,252788666
3,v,70,185,252788674
4,v,71,187,252788679
5,v,72,189,252788685
6,v,75,193,252788691
7,v,76,195,252788697
8,v,78,198,252788699
9,v,79,200,252788705
10,v,81,202,252788706
11,v,82,205,252788713
12,v,83,208,252788714
13,v,86,212,252788722
14,v,87,214,252788730
15,v,88,218,252788731
16,v,91,223,252788739
17,v,92,228,252788747
18,v,93,231,252788756
19,v,95,235,252788765
20,v,97,241,252788774
21,v,98,244,252788783
22,v,99,248,252788792
23,v,100,253,252788802
24,v,101,255,252788812
25,v,102,258,252788822
26,v,103,260,252788832
27,v,104,262,252788846
28,v,106,260,252788920
29,v,106,257,252788931
30,v,107,254,252788943
31,v,108,251,252788954
32,v,109,248,252788966
33,v,111,240,252788978
34,v,113,234,252788990
35,v,116,226,252789002
36,v,117,223,252789003
37,v,119,214,252789016
38,v,122,206,252789030
39,v,125,192,252789043
40,v,128,183,252789057
41,v,130,175,252789070
42,v,131,173,252789071
43,v,134,167,252789085
44,v,137,162,252789100
45,v,140,160,252789116
46,v,141,158,252789132
47,v,143,161,252789192
