idx,label,x,y,timestamp
0,v,78,159,118668276
1,v,76,158,118668284
2,v,77,160,118668405
3,v,80,161,118668441
4,v,81,163,118668465
5,v,83,165,118668490
6,v,85,166,118668522
7,v,87,168,118668550
8,v,88,170,118668569
9,v,90,172,118668597
10,v,92,174,118668613
11,v,93,176,118668630
12,v,95,178,118668650
13,v,97,180,118668671
14,v,99,183,118668687
15,v,101,185,118668708
16,v,103,187,118668729
17,v,104,190,118668741
18,v,106,191,118668761
19,v,107,193,118668770
20,v,108,195,118668784
21,v,110,197,118668808
22,v,111,199,118668825
23,v,112,201,118668840
24,v,113,203,118668856
25,v,115,205,118668880
26,v,115,207,118668890
27,v,117,209,118668913
28,v,118,211,118668930
29,v,118,213,118668941
30,v,120,216,118668966
31,v,121,218,118668978
32,v,122,220,118668995
33,v,122,223,118669011
34,v,124,225,118669040
35,v,125,228,118669065
36,v,125,230,118669077
37,v,126,232,118669097
38,v,127,234,118669125
39,v,127,236,118669138
40,v,129,238,118669170
41,v,130,240,118669202
42,v,131,242,118669222
43,v,131,244,118669242
44,v,133,247,118669267
45,v,133,249,118669287
46,v,134,252,118669335
47,v,134,250,118669416
48,v,134,248,118669431
49,v,135,246,118669445
50,v,135,241,118669461
51,v,136,239,118669479
52,v,136,236,118669495
53,v,136,234,118669510
54,v,137,231,118669526
55,v,138,226,118669543
56,v,139,224,118669559
57,v,140,222,118669576
58,v,141,218,118669594
59,v,142,216,118669611
60,v,144,210,118669630
61,v,144,208,118669648
62,v,146,204,118669666
63,v,147,202,118669685
64,v,150,197,118669704
65,v,151,194,118669722
66,v,152,192,118669740
67,v,154,187,118669760
68,v,156,185,118669781
69,v,158,184,118669782
70,v,160,179,118669802
71,v,162,177,118669822
72,v,164,175,118669823
73,v,167,173,118669844
74,v,171,168,118669864
75,v,173,166,118669885
76,v,176,162,118669906
77,v,180,157,118669927
78,v,185,154,118669948
79,v,189,152,118669970
