idx,label,x,y,timestamp
0,v,84,159,117896830
1,v,84,162,117896874
2,v,84,164,117896890
3,v,85,167,117896911
4,v,86,169,117896922
5,v,88,172,117896935
6,v,89,174,117896943
7,v,90,178,117896951
8,v,91,180,117896963
9,v,92,182,117896971
10,v,93,184,117896979
11,v,94,187,117896987
12,v,95,190,117896995
13,v,97,192,117897003
14,v,99,196,117897020
15,v,100,198,117897028
16,v,101,200,117897037
17,v,102,202,117897045
18,v,104,205,117897054
19,v,105,208,117897062
20,v,106,210,117897073
21,v,108,213,117897082
22,v,108,215,117897091
23,v,110,218,117897102
24,v,111,220,117897111
25,v,112,223,117897122
26,v,114,225,117897133
27,v,114,227,117897143
28,v,116,230,117897153
29,v,117,232,117897164
30,v,118,234,117897175
31,v,119,237,117897186
32,v,119,239,117897198
33,v,121,242,117897214
34,v,122,244,117897230
35,v,124,246,117897250
36,v,125,248,117897283
37,v,125,250,117897316
38,v,125,248,117897336
39,v,126,245,117897352
40,v,126,243,117897365
41,v,126,239,117897379
42,v,128,230,117897393
43,v,129,223,117897407
44,v,131,216,117897421
45,v,133,206,117897436
46,v,134,204,117897437
47,v,136,196,117897452
48,v,137,194,117897453
49,v,140,182,117897468
50,v,142,175,117897484
51,v,142,172,117897485
52,v,145,163,117897501
53,v,146,158,117897516
54,v,148,151,117897533
55,v,148,149,117897549
56,v,150,145,117897565
57,v,152,141,117897582
58,v,154,138,117897600
59,v,153,141,117897652
