idx,label,x,y,timestamp
0,v,73,173,201652124
1,v,75,176,201652257
2,v,77,179,201652265
3,v,79,181,201652274
4,v,81,185,201652281
5,v,82,187,201652287
6,v,85,191,201652294
7,v,86,194,201652300
8,v,87,197,201652301
9,v,89,199,201652308
10,v,91,206,201652315
11,v,93,213,201652323
12,v,96,219,201652330
13,v,97,224,201652338
14,v,98,229,201652346
15,v,99,233,201652354
16,v,99,236,201652363
17,v,99,239,201652373
18,v,99,241,201652381
19,v,99,243,201652390
20,v,101,241,201652434
21,v,102,239,201652443
22,v,104,236,201652452
23,v,106,228,201652462
24,v,109,224,201652472
25,v,114,216,201652482
26,v,119,209,201652493
27,v,128,196,201652503
28,v,136,186,201652514
29,v,141,180,201652525
30,v,144,175,201652536
31,v,146,174,201652547
32,v,148,172,201652559
